Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.8067736323135952,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.5000807248606196,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7561683599419449,Diag Accuracy on Target Hospital
Best_Target_Diagnosis_AUC,0.8073996988197158,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.49908563243601567,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7552007740686986,Diag Accuracy on Target Hospital
