Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,7.7795236206054685,0.6362529768943787,4.5982587313652035,0.49810369021883416,0.0
2,7.343825173377991,0.6315364764928818,4.186142792224884,0.5248804351794385,0.0
3,7.535708953857422,0.6303750479221344,4.383833724498749,0.48500000000000004,0.46133034619041924
4,7.497819197654724,0.6295706357955932,4.349966020107269,0.5113540944105728,0.7611738616605701
5,7.505804870605469,0.63394771027565,4.3360663304328915,0.48955197132616485,0.904967383351803
6,7.453144404411316,0.6305559947490692,4.300364432811737,0.46127232142857144,0.9639568610994933
7,7.455117589950562,0.6317812827825546,4.296211178779602,0.4858064516129032,0.9865876796714468
8,7.446420001983642,0.6321010621786117,4.285914695262909,0.5192398963163083,0.9950448778258347
9,7.445998543739319,0.6313868196010589,4.28906444978714,0.5048549107142857,0.9981742530898123
10,7.4355398435592654,0.6306334549188614,4.282372578620911,0.48152677886897155,0.9993279574474399
