Epoch,Train_Loss,Val_Loss,Val_AUC,Test_Loss,Test_AUC
1,0.680777928352356,0.6758548206753201,0.748460833715071,0.6713251816108823,0.7752085962418066
2,0.6696660131216049,0.670589284102122,0.7552358118796618,0.671389882452786,0.7628488803990237
3,0.6689604369401931,0.6735024472077688,0.7392664471807744,0.6706474013626575,0.7676014399123716
4,0.6690380910634994,0.6673543386989169,0.7590833441843811,0.667295410297811,0.7820647755183702
5,0.667568227648735,0.6742903331915537,0.7399871445917644,0.6680428152903914,0.7635727633780154
6,0.6662938967943192,0.6653460999329884,0.7340461738890748,0.671107729896903,0.7123928886126708
7,0.6680974396467209,0.6625168263912201,0.7562207970682546,0.6656156769022346,0.752925287264645
8,0.6628355149030686,0.6634854793548584,0.7340328153787681,0.6702233487740159,0.723443334697427
9,0.6667329480648041,0.6669372022151947,0.7290761573134954,0.6697568632662296,0.7118202555472252
10,0.664664968252182,0.6695365634229448,0.752131467902601,0.6700962204486132,0.7733438762959058
11,0.6679461830854416,0.6661214927832285,0.7423638727575685,0.6688758712261915,0.7767943418795414
12,0.6645049602985382,0.6655378500620525,0.7612655876215196,0.6670193579047918,0.775452389972714
13,0.665714226603508,0.6635658767488267,0.7399687582578554,0.6693521523848176,0.7429263643285784
14,0.6640310302972794,0.6681581808461083,0.7530171332565705,0.6689310139045119,0.765082027443651
15,0.6644797421693802,0.6626352224085066,0.7604398385164449,0.669251206330955,0.7553796443125821
16,0.6644254215955734,0.6657662590344747,0.7192706647122554,0.6724806176498532,0.6765736275056509
17,0.6628910995721817,0.6633897125720978,0.7324396307812624,0.6730549531057477,0.7176024877131888
18,0.6642568957805634,0.6643249061372545,0.73733862959285,0.6700595766305923,0.7670330254643293
19,0.6632787653207779,0.6623942587110732,0.7610571328005469,0.6718796901404858,0.7537768337171538
20,0.6660442470312119,0.6638999157481723,0.7473553177816369,0.6688623372465372,0.7624014094453655
21,0.6625280324220657,0.6618691881497701,0.757674963098692,0.6734402971342206,0.7634585996663291
22,0.6610598546266556,0.6643065949281056,0.7590583804143125,0.6703945314511657,0.7604688754539606
23,0.6595631326436997,0.6636926988760631,0.7665427291698479,0.6658590268343687,0.7720387853229181
24,0.6585625233650207,0.6613039738602109,0.765101794052693,0.6713434997946024,0.7666983087787705
25,0.6620658352375031,0.662663667069541,0.7376049362991698,0.6676387749612331,0.7435860981986444
26,0.6621987437009811,0.6621645165814294,0.7587898587116306,0.6779208239167929,0.7388575438056884
27,0.6588114978075027,0.6657136076026493,0.7465056432926505,0.6745948642492294,0.7529904611303816
28,0.6591833128929138,0.661537786324819,0.7648358391520328,0.6726545263081789,0.7607014724886078
29,0.6580781166553498,0.6619211872418721,0.7642240545630375,0.6712571429088712,0.7752703676232372
30,0.6585481742620468,0.6627960907088386,0.7798376785106436,0.6736025419086218,0.7944697369051612
31,0.6563802812099456,0.6641662855943044,0.7395126578031885,0.6783224018290639,0.7088516326628277
32,0.658016444683075,0.6615405903922187,0.7123191835903702,0.6773667773231864,0.6565081494970794
33,0.6612428436279297,0.6632995367050171,0.7226121782714091,0.6771838963031769,0.6762382346923117
34,0.6591600288152695,0.6598804341422186,0.7606680409222781,0.6752763241529465,0.7388078444059443
35,0.65948251080513,0.662735194630093,0.761331757136687,0.674740981310606,0.7350705720046693
36,0.6596475764513016,0.6651006943649715,0.7559744359885308,0.6713407281786203,0.732734624106945
37,0.6618070783615112,0.6629927621947395,0.7561946049949381,0.6740785744041204,0.7350079169795051
38,0.6588993401527404,0.6649945815404256,0.7175167953872197,0.6783254342153668,0.6775808769103496
39,0.6600363318920135,0.6620451589425405,0.7726277998065494,0.675366809591651,0.7688168443514929
40,0.6586245573759079,0.6624788482983907,0.7673663812174808,0.6704323785379529,0.7649804013605946
41,0.658728138923645,0.6585455781883663,0.7811484395167305,0.6704724598675966,0.7807336692413933
42,0.6583967691659928,0.6607256790002187,0.7673222374917289,0.6692037954926491,0.7510578114158498
43,0.6566763381958007,0.6615069369475047,0.7784159257272212,0.6680084569379687,0.7730272945997415
44,0.6549859290122986,0.6616799990336101,0.7551909610756201,0.669519018381834,0.7379963945019348
45,0.657532184958458,0.6629880832301246,0.7532771366452644,0.6758849918842316,0.7180191102107228
46,0.6569407068490982,0.6643928209940593,0.7503903903903905,0.6672767819836736,0.7449676704486679
47,0.6539178991317749,0.6618075463506911,0.740265180434672,0.6668275380507112,0.706622108078504
48,0.6604475772380829,0.6612256275282966,0.759936631546801,0.6720839450135827,0.758057500784295
49,0.6571789078712463,0.659671386745241,0.7590597951824577,0.6704660374671221,0.7440022641180825
50,0.6600702943801879,0.6619317187203302,0.7561271118851525,0.6739552021026611,0.7278142919758939
