Epoch,Train_BCE_Loss,Val_Target_AUC
1,0.6716087265014649,0.8085999278333103
2,0.6631397415399551,0.8050949970826232
3,0.6558206905126571,0.8029904551875567
4,0.6573376086950302,0.8012280333041595
5,0.6573518044948577,0.8003372257281927
6,0.6539383009672165,0.7988847751316659
7,0.6535380399227142,0.7983516820980545
8,0.6510335210561752,0.7984949118645109
9,0.6518223228454589,0.798790968031692
10,0.6524109143018723,0.7976854357639688
11,0.6487518199682236,0.7981467939564237
12,0.6504069019556046,0.7962118725720516
13,0.6525705062150955,0.7980189188047968
14,0.6516851218938827,0.7980793776006879
15,0.6514741541743279,0.7976352933499163
16,0.650410641670227,0.79805370660402
17,0.651407503604889,0.7968138214565389
18,0.6539080674648285,0.7975155753374176
19,0.6492136498689651,0.7979836511738603
20,0.6480002468824386,0.7970462999216915
21,0.649782702922821,0.7976652828320052
22,0.6503335486650467,0.7976427307414742
23,0.6473974659442902,0.7978358630061264
24,0.6490339301824569,0.7973855409430805
25,0.6498460364341736,0.7968613247961674
26,0.6502949932217598,0.7971957675004222
27,0.6513918800354004,0.7964798585839975
28,0.6503769612312317,0.7960297764368082
