Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.4148711557388305,0.6790670680999756,3.0195358209609986,0.1755625,0.6687278230985005,0.7666436642003291,0.6504512071609497,0.6606695869837297,0.0
2,6.291990310668945,0.6733212771415711,2.9253839263916017,0.1985,0.6694344388114082,0.7587355808217023,0.6517390996217728,0.6780667834038621,0.0
3,6.227988153457642,0.6666780350208282,2.894597972869873,0.2036875,0.6710328982936011,0.7561474651440603,0.6434520721435547,0.6181498522425467,0.0
4,6.204804013252258,0.6671030029058457,2.8692890014648436,0.2095,0.6699725303384992,0.7672065329218107,0.6456228643655777,0.6389820612204333,0.0
5,6.211667919158936,0.6687624839544296,2.867855499267578,0.20375,0.6704456627368927,0.7678625768208257,0.6414970815181732,0.6986421754898441,0.0
6,6.158892803192138,0.6645933103561401,2.8359262390136717,0.2145625,0.664709726969401,0.7660775037497091,0.6499747902154922,0.6945748857086067,0.0
7,6.178505624771118,0.666539877653122,2.8458062286376955,0.2095625,0.6683974001142714,0.7695152306478521,0.6399141281843186,0.6856508135168962,0.0
8,6.1340087251663205,0.6616242640018463,2.8258874053955076,0.2163125,0.6668120973640018,0.7617986405104049,0.6386067181825638,0.6611803139690022,0.0
9,6.166325429916382,0.6657156858444214,2.8377469940185547,0.21175,0.6657739765114254,0.7505661174287093,0.6648368984460831,0.6298208207084877,0.0
10,6.133885787963867,0.6642469998598098,2.812650787353516,0.215125,0.6653571261299981,0.7793737484912528,0.6542922347784043,0.6731722657984313,0.0
11,6.159517626762391,0.6653726500272751,2.8326543731689453,0.212,0.668938222196367,0.7573088965552349,0.6452887058258057,0.6672768906739812,0.02495
12,6.2210017576217655,0.6651205396652222,2.895399078369141,0.2014375,0.6638491531213124,0.7456256592352563,0.6643547087907791,0.5970568356374808,0.04995
13,6.193859099388122,0.6644732919931412,2.8714926452636718,0.2039375,0.6655879908137852,0.7582763179851867,0.6622270435094834,0.6732411674347158,0.07495
14,6.1943534545898435,0.6626325879096985,2.8811905212402342,0.2006875,0.6649686045116848,0.7662689320448148,0.6563640624284744,0.6574304099661896,0.09995
15,6.177329432487488,0.6616809861660004,2.868924499511719,0.201375,0.6661317321989272,0.7568336167131944,0.6497158020734787,0.6663340027429467,0.12495
16,6.2093667917251585,0.6652141296863556,2.883296142578125,0.19875,0.6644224531120724,0.7655672889578727,0.6570614218711853,0.6634464234877646,0.14995
