Epoch,Train_BCE_Loss,Val_Target_AUC
1,0.640653056383133,0.8153308142942772
2,0.6399348300695419,0.8470892514744989
3,0.6384497162103653,0.789574688624916
4,0.6393529655337333,0.7841187944378029
5,0.6395889939069748,0.8149748151288055
6,0.6364643807411194,0.7981733103286122
7,0.637108230471611,0.7841717803601056
8,0.6398069999217987,0.7924061238479702
9,0.6353987482786179,0.789828027565926
10,0.6384992036819458,0.7896657581788739
11,0.6345768177509308,0.7907883974076637
12,0.6384332172870636,0.8227190388353695
13,0.6364421421289443,0.8075402279056982
14,0.6399991651773452,0.7832627406305989
15,0.637179533481598,0.7898694228177251
16,0.6405119371414184,0.8021124824898085
17,0.6420352820158005,0.7995194839171167
18,0.6394909212589264,0.7947954577818106
19,0.6368702740669251,0.8048180761473936
20,0.6386255204677582,0.7942357939774877
21,0.6387097064256668,0.7892220010795881
22,0.6395580556392669,0.8180049475604949
23,0.6376054655313492,0.7890696665529676
24,0.6364973566532135,0.8039322177588942
25,0.6373788862228393,0.7935006143055368
26,0.6372424663305283,0.780237575629125
27,0.636800334751606,0.7895597863342683
28,0.6393735353946686,0.7898942599688046
29,0.6384720915555954,0.7885712677213073
30,0.6386556948423385,0.7918464600436471
