Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,7.898667977333069,0.649246258854866,4.652436684131622,0.813994862418253,0.0
2,7.403940677642822,0.643936020731926,4.184260575771332,0.8030478725804269,0.0
3,7.6561158218383785,0.647462131857872,4.418805153369903,0.8196541979057499,0.46133034619041924
4,7.581212494850159,0.6413073890209198,4.3746755504608155,0.822321276614803,0.7611738616605701
5,7.554702167510986,0.6419955756664276,4.344724296569824,0.8198736552638415,0.904967383351803
6,7.536474711418152,0.6433846224546432,4.319551603317261,0.8195976529756915,0.9639568610994933
7,7.538182068824768,0.6457067892551422,4.309648135185242,0.81199667292753,0.9865876796714468
8,7.52034082698822,0.6448876518011093,4.295902568340302,0.8175311539536184,0.9950448778258347
9,7.517822840690613,0.6444695297479629,4.295475192070008,0.8294109728874779,0.9981742530898123
10,7.503470504760743,0.643283038854599,4.287055308818817,0.8228256374294243,0.9993279574474399
