Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,7.77432015132904,0.6371994086503983,4.5883231072425845,0.717813337856877,0.0
2,7.380949310302734,0.6333032680749893,4.214432974338531,0.7269499535865576,0.0
3,7.537744633674621,0.6290039536952973,4.392724860668182,0.7374813286024606,0.46133034619041924
4,7.514227752685547,0.6281664286851882,4.373395603179931,0.7335208719130348,0.7611738616605701
5,7.496920922279358,0.6331715561151504,4.331063152313233,0.7325407707929866,0.904967383351803
6,7.445220224380493,0.6291329538822175,4.299555453777313,0.7231921139556033,0.9639568610994933
7,7.472181207656861,0.6334441711902619,4.304960351943969,0.7304412989175687,0.9865876796714468
8,7.443524291038513,0.6311297255754471,4.2878756699562075,0.7421768611319225,0.9950448778258347
9,7.441458534240723,0.6327213958501816,4.2778515644073485,0.7094341856060606,0.9981742530898123
10,7.4554633522033695,0.6321250752210618,4.294837985992432,0.734642518939394,0.9993279574474399
