Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,7.801023265838623,0.6378631957769394,4.611707276821137,0.8163908589440505,0.0
2,7.409662199020386,0.6376231317520141,4.221546536922455,0.811137378513265,0.0
3,7.609076892852783,0.6348996044397354,4.434578873157501,0.7628519762335314,0.46133034619041924
4,7.546018836975097,0.6330673454999923,4.380682117462158,0.8003542510121459,0.7611738616605701
5,7.524521816253662,0.6340907595157623,4.354068005084992,0.7982433479721002,0.904967383351803
6,7.532764085769653,0.6331966108083725,4.366781021118164,0.8186235881271342,0.9639568610994933
7,7.49311549282074,0.6368609547615052,4.30881070280075,0.7769088016967126,0.9865876796714468
8,7.4944818391799926,0.6360561187267304,4.314201244831085,0.8061417748917749,0.9950448778258347
9,7.501930493354798,0.6386520410776139,4.30867027759552,0.81953125,0.9981742530898123
10,7.491270471572876,0.6368142414093018,4.307199269294739,0.7656603773584907,0.9993279574474399
