Epoch,Train_BCE_Loss,Val_Target_AUC
1,0.6600862082242965,0.7988893335329432
2,0.6497291357517242,0.7942352058286117
3,0.6502467991113663,0.7946516997558615
4,0.6488187469244003,0.7933439184209314
5,0.6474484323263169,0.7890635796213551
6,0.6516271735429764,0.7816377040244445
7,0.6493882963657379,0.7766844012467946
8,0.6482274556159973,0.77586053019485
9,0.6481439999341965,0.7769315145792068
10,0.6473451217412949,0.7712279949176225
11,0.6470250869989396,0.7689387178128889
12,0.6463516864776612,0.7770236422681837
13,0.6467152749300003,0.7591882974803076
14,0.6440996053218841,0.7696287158167887
15,0.6476615166664124,0.7642649170083068
16,0.6464256917238236,0.7660993136487171
17,0.647173055768013,0.766287647596235
18,0.6449102813005447,0.7575395957129915
19,0.649418948173523,0.7535061303299708
20,0.6453415907621384,0.7681825030325365
21,0.6470787733793258,0.7511796662674467
22,0.6438900617957115,0.7484304704653983
23,0.6466255016326904,0.7554319349117877
24,0.6463815771341324,0.7410878456707664
25,0.6475575536489486,0.7479667131143766
26,0.6479086207151413,0.7411605401753497
27,0.6475306690931321,0.7450975593839727
28,0.6450293452739716,0.7446026129715786
29,0.6480071526765824,0.7388134433491484
30,0.6474149724245072,0.74092710204677
