Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,8.127776031494141,0.6841364380121231,4.70709383392334,0.768695652173913,0.0
2,7.549311661720276,0.6670719125270843,4.21395209312439,0.7899782135076252,0.0
3,7.2346274852752686,0.6577057873010635,3.9460985469818115,0.7307859313938341,0.0
4,7.022738507270813,0.6581309517621994,3.7320837321281433,0.7818181818181819,0.0
5,6.8115976047515865,0.6553645853996277,3.534774691104889,0.7363834422657951,0.0
6,6.627118648529053,0.654724533200264,3.3534959673881533,0.7816870629370629,0.0
7,6.481640997886657,0.651911047577858,3.222085753440857,0.7477954144620812,0.0
8,6.404313841819763,0.6541560438871383,3.133533622741699,0.7782186948853616,0.0
9,6.267095505714416,0.6510563996434212,3.011813506126404,0.7641509433962264,0.0
10,6.224164639472962,0.6497849032878876,2.975240128993988,0.7405557967867997,0.0
11,6.111163715362549,0.6491195771694184,2.8655658292770387,0.7485838779956427,0.02495
12,6.076813565254211,0.6484382926225662,2.8346221055984495,0.7570806100217865,0.04995
13,5.98002696800232,0.6433319146633149,2.7633673980236053,0.7507598784194528,0.07495
14,5.9978092679977415,0.649610717177391,2.7497556829452514,0.7114633087277464,0.09995
15,5.941539949417114,0.643894052028656,2.7220696907043456,0.7365217391304347,0.12495
16,5.953894461631775,0.6489050267934799,2.7093693311214446,0.7270541958041958,0.14995
17,5.9171483573913575,0.6475770781040192,2.679262962579727,0.7586056644880175,0.17495
18,5.864567911148071,0.6487659367322922,2.6207382328510285,0.7511940946591402,0.19995
19,5.86429522895813,0.644579831123352,2.641396081209183,0.6795652173913043,0.22495
20,5.813352051734924,0.6461449240446091,2.582627432346344,0.7248793330408074,0.24995
21,5.827333074569702,0.6493113008737564,2.5807765653133394,0.7106643356643356,0.27495
22,5.766728633880615,0.6452445693016052,2.5405057826042174,0.7768793706293706,0.29995
23,5.728954845428467,0.6435967444181442,2.510971120595932,0.7661713286713288,0.32495
24,5.67104720878601,0.6454435560703278,2.4438294365406037,0.6576204950065132,0.34995
25,5.746038145065308,0.6501944671869277,2.4950658173561098,0.7961354754667824,0.37495
26,5.660539657592773,0.6436466920375824,2.44230620598793,0.6656521739130435,0.39995
27,5.676381796836853,0.6467396061420441,2.4426837768554686,0.7337690631808279,0.42495
28,5.653334264755249,0.6422390170097351,2.4421391768455507,0.7938997821350763,0.44995
29,5.576433148384094,0.6412411091327668,2.370227600336075,0.7411764705882353,0.47495
30,5.632910278320312,0.6468758964538575,2.3985307943820953,0.6917211328976034,0.49995
31,5.575751319885254,0.647701698064804,2.337242828845978,0.739036039947894,0.52495
32,5.5830486888885495,0.6449784009456635,2.358156682252884,0.64880174291939,0.54995
33,5.591106199264527,0.6467426143884659,2.357393132686615,0.7490230134607034,0.57495
34,5.580251841545105,0.6467539113759995,2.3464822828769685,0.7733924611973393,0.59995
35,5.558370177268982,0.6461581928133965,2.3275792062282563,0.8139433551198257,0.62495
36,5.539981046676636,0.6477125627994538,2.3014182336330413,0.7625661375661376,0.64995
37,5.481199090003967,0.6424545925855637,2.268926123857498,0.7764423076923077,0.67495
38,5.474008734703064,0.646025976896286,2.243878860235214,0.6385149804602692,0.69995
39,5.479003251075745,0.6434218896627426,2.261893811941147,0.7319196428571428,0.72495
40,5.481576886177063,0.6484812000989914,2.23917089343071,0.8527863097849934,0.74995
41,5.519007795333862,0.6452559555768966,2.2927280087471007,0.6944567627494457,0.77495
42,5.453638730049133,0.648718821465969,2.2100446183681486,0.8198660714285714,0.79995
43,5.430626472473144,0.6441403540372849,2.209924690961838,0.6940559440559441,0.82495
44,5.449134953498841,0.6446523202657699,2.2258733444213865,0.7462006079027355,0.84995
45,5.4405513868331905,0.6440880422592163,2.2201111632585526,0.7774641771602258,0.87495
46,5.476177846908569,0.6469301851987839,2.241526917219162,0.6761363636363636,0.89995
47,5.486826496124268,0.6445275465250015,2.2641887698173524,0.7637674825174826,0.92495
48,5.475854558944702,0.6474105796813965,2.2388016686439514,0.8035714285714286,0.94995
49,5.429282388687134,0.6440565513372422,2.2089996333122253,0.7538126361655774,0.97495
50,5.41817873954773,0.6456908571720124,2.1897244582176207,0.7843137254901961,0.99995
