Epoch,Train_Loss,Val_Loss,Val_AUC,Test_Loss,Test_AUC
1,0.6906485449075699,0.6935523761643304,0.7375772107285237,0.6522821428684088,0.8311464555327077
2,0.6681216185092926,0.6668754392200046,0.7399777436912369,0.6708215245833764,0.7617605087637661
3,0.67013343334198,0.6681573046578302,0.746297075415051,0.6652106814659559,0.757972311982132
4,0.6683454161882401,0.6696712070041233,0.7428588144720527,0.6614818607385342,0.7865774778966963
5,0.668151652932167,0.6617424229780833,0.737852224176929,0.6722803092919863,0.7804130665560015
6,0.6660872838497162,0.6656102968586816,0.7423049657496421,0.6737973701495391,0.7666224898664621
7,0.6656359786987305,0.6641541010803647,0.7564575321735081,0.660270373408611,0.8103550038519844
8,0.6655661664009094,0.6606721129682329,0.7594329839179884,0.6716857151343272,0.82904739478662
9,0.6644706786870956,0.6635854701201122,0.7533826841095386,0.6681867356483753,0.8298294155486836
10,0.665318526506424,0.6624803158971998,0.7569324090121317,0.6684626375253384,0.811609100877193
11,0.6628737505674362,0.6646870778666603,0.7429973885458819,0.6693418392768273,0.7526848507519445
12,0.6618531048297882,0.6667207532458835,0.7464909969257796,0.6668389691756322,0.7623631146269583
13,0.6653738280534744,0.6632703860600789,0.7568004390244147,0.6588690063128104,0.8279188101095951
14,0.6636128026247025,0.6672134558359782,0.7411943600501544,0.6589928406935471,0.8080799300906618
15,0.6619099524021149,0.6622165580590565,0.7533969205805391,0.6664041464145367,0.8146851518712078
16,0.6622058559656143,0.6655697882175445,0.7481358607573837,0.6681294154662353,0.7996820559656055
17,0.6632538018226624,0.6680475334326427,0.7550856923225139,0.6647987079161864,0.7799119564122239
18,0.6622456988096237,0.6644595636261834,0.7431176359872014,0.6670739971674405,0.7457606598547488
19,0.6609780657291412,0.6624853399064806,0.761392812264388,0.6675765548761075,0.8214298481619813
20,0.6655334421396255,0.6633840262889862,0.7507180231726003,0.6703843245139489,0.7715800845306963
21,0.6621568394899369,0.6649873945448134,0.7592860542503177,0.6682819173886225,0.806939668062201
22,0.6622738721370697,0.6665580365392897,0.7689448373862988,0.6700168538552064,0.8151906088018342
23,0.6630311875343323,0.6604415847195519,0.7310209739512522,0.6724294504294028,0.6893963666905155
24,0.6613359265327453,0.6623424510161082,0.7400731005091824,0.6710308240010188,0.7158415964611446
25,0.6625422171354294,0.6618139876259698,0.7641681938014403,0.6699151557225448,0.788102839989259
26,0.6597459156513215,0.6589633703231812,0.7371280005462384,0.6747574187242068,0.687114051816725
27,0.6590099828243255,0.6595119959778256,0.7753266022527477,0.6683622942521021,0.7920592987646349
28,0.6608878927230835,0.6616419765684339,0.760878612716763,0.6756537671272571,0.797796447476329
29,0.661782456278801,0.6583296835422516,0.7757380011293054,0.667260352235574,0.7731561138544226
30,0.6579622658491134,0.6602104226748149,0.7735867139267335,0.6743828711601404,0.8300953578863884
31,0.6596345466375351,0.6615959862867992,0.7716452787245679,0.6664891242980957,0.7751252206009037
32,0.6601333634853364,0.6591941641436683,0.7659623020859513,0.6729026860915698,0.7848961828077239
33,0.6612856955528259,0.6608938217163086,0.7552107409498714,0.6698713841346594,0.7475580624682777
34,0.6593353000879287,0.6612382213274638,0.7589225936164865,0.6673298592750843,0.8054606581473716
35,0.6582172437906265,0.6601250257756975,0.7733178621666696,0.6660647655908878,0.8081575381482407
36,0.6558537795543671,0.6664724508921306,0.7073283817082403,0.6785615155330071,0.6230021463900209
37,0.6590897562503815,0.6609308414989048,0.7554311746103274,0.6693325466834582,0.701535420509109
38,0.6576688885688782,0.6607377429803213,0.7590419941968879,0.6705824457682096,0.7480915793075559
39,0.6567380774021149,0.6585955229070451,0.7722640475597911,0.6636873540969995,0.809939780046037
40,0.6553843786716461,0.6612793631023831,0.7741208483529893,0.6649458351043555,0.8099200547484992
41,0.6580026786327362,0.6585028058952755,0.761530430171085,0.6732764897438196,0.7034457904159594
42,0.657839719414711,0.6589954025215573,0.7635131438609699,0.6792305822555835,0.7294664380327542
43,0.6582227421998977,0.6609845618406932,0.7705903793746776,0.6642010785066165,0.8208546610826742
44,0.6571856141090393,0.6585150844520993,0.7432135245326732,0.6736148767746412,0.6840440865826685
45,0.6570903230905533,0.6607547455363804,0.7694240279706807,0.6662498632302651,0.7634227144056989
46,0.6576335396766663,0.661546747552024,0.7685306225144144,0.6683891071723058,0.7665441890755583
47,0.6559815851449966,0.6573795914649964,0.7676556026596993,0.672525134224158,0.7528588205243222
48,0.6560984443426132,0.6561788088745542,0.7781661193502913,0.6699072363284918,0.7976615236258437
49,0.6571196644306183,0.6697013960944281,0.7458684473861883,0.6636609985278203,0.7988619560625264
50,0.6579258625507355,0.6589582297537062,0.7561180836869856,0.6719508400330176,0.7070970994260897
