Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,8.083871581077576,0.6804430449008941,4.681656365394592,0.6759390782828283,0.0
2,7.570649283409119,0.6730064263343811,4.205617155075073,0.7496825396825396,0.0
3,7.250128754615783,0.6659014849662781,3.920621335506439,0.7522816166883964,0.0
4,6.996272564888001,0.6603115608692169,3.694714765548706,0.7523079361305917,0.0
5,6.785985507965088,0.6561385649442673,3.505292682170868,0.7888269922168227,0.0
6,6.6224693021774295,0.6526278294324875,3.3593301672935487,0.7369804108934543,0.0
7,6.494722486495972,0.6506696630716324,3.2413741631507875,0.7667812413575126,0.0
8,6.415575930595398,0.6506989806890487,3.162081031799316,0.7666903409090909,0.0
9,6.351432578086853,0.6531954748630524,3.085455199718475,0.7304455346815044,0.0
10,6.290664891242981,0.6505202686786652,3.0380635638237,0.7677579365079363,0.0
11,6.218502948760986,0.6460675460100174,2.988165216445923,0.7441063433575024,0.02495
12,6.169935086250305,0.6489923298358917,2.9249734430313112,0.7509383272095137,0.04995
13,6.096752752304077,0.645945283293724,2.8670263323783876,0.7806778724747475,0.07495
14,6.054220180511475,0.644420197725296,2.8321191842556,0.7578523171743511,0.09995
15,5.956187693595886,0.6482226885557175,2.7150742638111116,0.7684801074631583,0.12495
16,5.83858891582489,0.6480166639089584,2.598505592107773,0.763482280431433,0.14995
17,5.713876269340515,0.6469876030683518,2.4789382581710817,0.7359946194018041,0.17495
18,5.683333994865418,0.649438282608986,2.4361425750255585,0.7672750977835724,0.19995
19,5.65448725605011,0.6467109689712525,2.4209324061870574,0.7478226600985223,0.22495
20,5.598156831741333,0.6462291328907013,2.3670111677646637,0.7627316186638221,0.24995
21,5.545807705879211,0.643991781592369,2.3258487918376924,0.7424404761904762,0.27495
22,5.478097440719605,0.6445674551725388,2.2552601642608643,0.7510879886057921,0.29995
23,5.476428901672363,0.6450291677713395,2.251283048391342,0.7853718451602679,0.32495
24,5.457191300392151,0.6499977264404296,2.207202674627304,0.735785886921035,0.34995
25,5.450691519737243,0.6480428193807601,2.210477417230606,0.4897457093371122,0.37495
26,5.444033193111419,0.6444546678066254,2.2217598497867583,0.7193512701987278,0.39995
27,5.420830176353455,0.6452468787431717,2.194595789909363,0.7752380952380953,0.42495
28,5.328096990585327,0.6443071967363357,2.1065610206127166,0.6254395322191931,0.44995
29,5.421391749382019,0.6420434416532517,2.2111745443344115,0.7424433497536946,0.47495
30,5.359487865447998,0.6452255899906159,2.1333599042892457,0.49827647688101745,0.49995
31,5.394215540885925,0.6457167420387268,2.1656318333148956,0.7328631820157244,0.52495
32,5.354607682228089,0.6464854512214661,2.122180423259735,0.49814309983801514,0.54995
33,5.354118834018707,0.6465616209506988,2.1213107287883757,0.6834134902023133,0.57495
34,5.352110161781311,0.6455060904026031,2.124579711675644,0.5911309523809524,0.59995
35,5.308810959815979,0.6443729680776596,2.0869461121559145,0.764095249415587,0.62495
36,5.308110401153565,0.6418401070833206,2.098909865140915,0.7807539682539683,0.64995
37,5.323623212814331,0.6453999766111373,2.0966233402490615,0.5213245766735243,0.67495
38,5.244116724967957,0.6422149152755737,2.0330421493053437,0.7399659257498317,0.69995
39,5.236724781990051,0.6466140866279602,2.0036543407440184,0.7707142857142857,0.72495
40,5.285678829669952,0.6435971097946167,2.067693286895752,0.7674400252525253,0.74995
41,5.273925300598145,0.6443312935829163,2.052268823623657,0.7507012761250049,0.77495
42,5.181621981620789,0.6436844398975372,1.9631997748613357,0.7425225510365564,0.79995
43,5.204977201938629,0.6437056609392167,1.9864489009380342,0.7492967233250128,0.82495
44,5.268869235992431,0.6415471093654632,2.06113369178772,0.49980189389436985,0.84995
45,5.267395771026611,0.6467093807458878,2.0338488733768463,0.49816285409505745,0.87495
46,5.213562629699707,0.6434084889888764,1.996520187139511,0.7572596894630793,0.89995
47,5.236996251106262,0.640903408408165,2.0324791989326476,0.7906746031746033,0.92495
48,5.1731046829223635,0.6430040967464447,1.958084198474884,0.7584959656584125,0.94995
49,5.280554149627686,0.6453013824224472,2.054047225236893,0.6846745116684496,0.97495
50,5.215395858764649,0.6421647650003434,2.0045720357894896,0.5000593448330432,0.99995
