Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,6.414910507202149,0.681391513466835,3.007952941894531,0.7827154679405234,0.0
2,6.058389556884766,0.6632594004869461,2.7420925545692443,0.7871490007589174,0.0
3,5.766833731651306,0.6578830659389496,2.4774184136390685,0.6990538024057577,0.0
4,5.56763871383667,0.6535450848340988,2.299913305044174,0.7567838772240493,0.0
5,5.461855456352234,0.6540367927551269,2.1916714882850648,0.7986082927489178,0.0
6,5.3991005420684814,0.6545891087055207,2.126155007123947,0.7694022068223105,0.0
7,5.315044301986695,0.6526957969665528,2.0515653331279755,0.7290923770436656,0.0
8,5.250271471977234,0.6526369041204453,1.9870869505405426,0.7615807710421852,0.0
9,5.215287133216858,0.6519777343273163,1.9553984711170196,0.7762594997231869,0.0
10,5.138566349983216,0.6475504570007324,1.9008140687942505,0.7840438203566695,0.0
11,5.089307553291321,0.6461716387271881,1.8584493746757507,0.7856804653679654,0.02495
12,5.059998601913452,0.6433984694480896,1.8430062582492828,0.7125137026730752,0.04995
