Epoch,Train_Cls_Loss,Train_Dom_Acc,Train_Dom_MCC,Val_Target_AUC,Alpha
1,0.6727663128376007,0.164875,0.021723561040771906,0.6357746792892913,0.0
2,0.6599511910676956,0.187375,0.020007316112853998,0.6773491630651025,0.0
3,0.6523732440471649,0.2051875,0.06904654322231388,0.6471389003224257,0.0
4,0.6537397536039352,0.20075,0.04591847093681299,0.6364585477121493,0.0
5,0.6525035104751586,0.206625,0.05613328431896265,0.6796044282088222,0.0
6,0.6480323500633239,0.207,0.05352934571967995,0.6587603759346916,0.0
7,0.6499837077856064,0.207,0.07390007468772482,0.653647441174453,0.0
8,0.6488627041578293,0.2070625,0.0691622505174242,0.6699831069493037,0.0
9,0.6421226942539215,0.2044375,0.06969420051664793,0.6462320779309871,0.0
10,0.6492541463375091,0.2093125,0.07769518784492346,0.6790148864649791,0.0
11,0.643153446316719,0.19475,0.04027622731591749,0.6615880325169788,0.02495
12,0.645298172712326,0.1895625,0.0025427216275749377,0.6730315737120122,0.04995
13,0.6457377376556397,0.19,0.03179863726383172,0.6688318927076902,0.07495
14,0.6458583365678787,0.1989375,0.021797603062551293,0.6551330863689374,0.09995
15,0.6431904189586639,0.1923125,0.012690781678313952,0.6802861528435207,0.12495
16,0.6461820231676102,0.1918125,0.025815798447784498,0.6954898984701927,0.14995
17,0.6427702552080155,0.1935,0.011187957850343334,0.6495763874596968,0.17495
18,0.6446411001682282,0.1916875,0.0027901368139967913,0.6485173561089388,0.19995
19,0.6430752266645432,0.1901875,0.026583285689354166,0.6335622899087604,0.22495
20,0.6440319064855575,0.1954375,0.015483177674234327,0.7034090519311245,0.24995
21,0.6426338284015656,0.194,0.014541390640162783,0.6263291486588461,0.27495
22,0.6433922921419144,0.1934375,0.0015830620309403313,0.6831909857995472,0.29995
23,0.6443589013814927,0.1919375,0.028574136217466975,0.6817696542498456,0.32495
24,0.647796427488327,0.19125,0.020446161676016643,0.6946881216985663,0.34995
25,0.6434849501848221,0.195125,0.013990577742006778,0.673655416066406,0.37495
26,0.6421100465059281,0.1936875,0.007644695235034929,0.6647694141455718,0.39995
27,0.643246606349945,0.188875,0.0014846114938449665,0.6500244391850174,0.42495
28,0.6427690802812577,0.194625,0.01687311130979573,0.6366193318241065,0.44995
29,0.6435770479440689,0.1945625,0.01056423238282015,0.6265842594498182,0.47495
30,0.6433102612495423,0.1949375,-0.003123717572583533,0.6647436886876587,0.49995
31,0.6405445075035096,0.19575,-0.00280904431280066,0.6191688962063523,0.52495
32,0.6411110482811928,0.196375,0.012523652942264117,0.6272445462029224,0.54995
33,0.6418718292713165,0.198,0.03311740140073394,0.6270623242093709,0.57495
34,0.64440487408638,0.1979375,0.00965418590647388,0.6522325409892297,0.59995
35,0.6454245879650116,0.193625,0.026766283837348085,0.6211411813130274,0.62495
36,0.6433119460344314,0.2001875,0.004165318106853232,0.6620125025725458,0.64995
37,0.6424909241199493,0.18825,0.0032938745454694517,0.6469395280235989,0.67495
38,0.6419061497449875,0.19375,-0.0012971792721996592,0.6495592371544212,0.69995
39,0.6418717428445816,0.1889375,0.0066484750949983955,0.6216771283528847,0.72495
40,0.6442420899868011,0.1955625,0.013513910521877164,0.6071079440214036,0.74995
41,0.6431696983575821,0.1969375,0.01916832150107995,0.6299521506482815,0.77495
42,0.6410123291015625,0.1955625,0.004076753888303036,0.6458612025794059,0.79995
43,0.6412100664377213,0.1925,0.004275622986228678,0.5859594738286341,0.82495
44,0.6418859310150147,0.1908125,0.009094551122198582,0.6051163648212937,0.84995
45,0.6450951781272888,0.1956875,0.008736103424720218,0.6134749948549084,0.87495
46,0.6411483498811722,0.2011875,0.014154673684279176,0.6092152877821226,0.89995
47,0.6436910753250122,0.1965,0.014682904291300683,0.633161401522947,0.92495
48,0.6438047842979431,0.1985625,-0.00684940046858542,0.6577549392879193,0.94995
49,0.6410429773330688,0.1955625,0.005402165578823466,0.6488003361459834,0.97495
50,0.6397330473661422,0.19325,0.011037702376637835,0.6189502298140906,0.99995
