Epoch,Train_Cls_Loss,Train_Dom_Acc,Train_Dom_MCC,Val_Target_AUC,Alpha
1,0.6691267504692078,0.1754375,0.009992130953157936,0.7062328784404126,0.0
2,0.6523735395669937,0.197875,0.04619943364823081,0.7316913013513998,0.0
3,0.6507968640327454,0.208625,0.06314422716732664,0.7208045456537299,0.0
4,0.6467860304117202,0.2166875,0.07224682330424982,0.717464887108918,0.0
5,0.6458207256793976,0.2170625,0.09689322673831148,0.7111626924951299,0.0
6,0.6514503778219223,0.2201875,0.08971854203279282,0.7238500752253106,0.0
7,0.6452185701131821,0.2249375,0.08581643753693524,0.7395743562028015,0.0
8,0.6401179231405258,0.227875,0.0876156549393964,0.7517013668033956,0.0
9,0.6431959598064423,0.2221875,0.07695566057360997,0.7242212221689588,0.0
10,0.6430501189231873,0.2250625,0.09982550206531648,0.7487560933829612,0.0
11,0.6421091207265854,0.2015625,0.04073289477453993,0.7118711250333634,0.02495
12,0.6434084470272065,0.203875,0.02740245310016446,0.7397582698045734,0.04995
13,0.6427404789924621,0.1984375,0.0021619358581884815,0.7241110067974997,0.07495
14,0.6405676718950272,0.1995,0.010549974568635264,0.7377896639227907,0.09995
15,0.6433573437333107,0.205125,0.0319926921085688,0.7445433431907482,0.12495
16,0.6404038033485413,0.199375,0.009378461248062018,0.7100585469364774,0.14995
17,0.6398327274918556,0.1991875,0.01753359229751494,0.7326560178256765,0.17495
18,0.639352401137352,0.2026875,0.013551005515124094,0.7381833850991473,0.19995
19,0.6408703120946884,0.2014375,0.013571074125576206,0.7321374744214024,0.22495
20,0.6405090922117234,0.195,-0.0013443861631922628,0.7077440241358384,0.24995
21,0.6398214111328125,0.1968125,0.00629345649186509,0.7488530297940035,0.27495
22,0.6409130181074143,0.2029375,0.0019162193365260276,0.7451389045654393,0.29995
23,0.6398537887334823,0.199125,-0.00017263369272723647,0.7212527105677952,0.32495
24,0.6380682700872421,0.2026875,0.01696787714009523,0.713774664009104,0.34995
25,0.637974324464798,0.20225,0.01038072887647025,0.7280223245882527,0.37495
26,0.6370137271881103,0.2001875,0.01560777491622756,0.7476426525520169,0.39995
27,0.6365415378808975,0.1983125,-0.0013477591541593407,0.7327144452515102,0.42495
28,0.6380275213718414,0.2016875,0.019579391145384945,0.7306562063869144,0.44995
29,0.6383566585183144,0.19625,0.00852319990615705,0.7370812313845574,0.47495
30,0.6348005343675613,0.2008125,-0.0008707322005134722,0.7414075166883334,0.49995
31,0.6392778152227402,0.20125,0.012319796310231243,0.7258704690527188,0.52495
32,0.6347264784574509,0.2023125,0.01349506339503589,0.7365925656412211,0.54995
33,0.6366928079128266,0.201875,-0.009782945426875828,0.7587777248094801,0.57495
34,0.6382837625741958,0.194875,-0.011932340434154242,0.741903485859899,0.59995
35,0.6406737790107727,0.2040625,-0.010768564486778199,0.758348814388019,0.62495
36,0.6360899410247802,0.203625,0.01512771260437144,0.7350190088318367,0.64995
37,0.6356363921165467,0.19975,-0.0047164176382088596,0.7398698130720742,0.67495
38,0.6369993456602097,0.2010625,0.008681785750727774,0.7317404335049418,0.69995
39,0.6350584483146667,0.2045625,0.020729065831845497,0.7432526282382406,0.72495
40,0.6367501178979874,0.1978125,-0.0002662950808227647,0.7542144100622651,0.74995
41,0.6389736108183861,0.2004375,0.008826368991910881,0.7387716430456093,0.77495
42,0.6374107687473297,0.20025,0.004581910189696013,0.7648455457719125,0.79995
43,0.6363247327804565,0.2016875,0.0032063090245488487,0.7306024265972266,0.82495
44,0.6411855736970902,0.2029375,-0.0030894382706036366,0.7296523169794084,0.84995
45,0.6374972054362297,0.198,-0.0029246629919688683,0.7550323940239366,0.87495
46,0.6372689739465713,0.2010625,-0.00814417823280635,0.7273112362579358,0.89995
47,0.6373265106678009,0.2018125,-0.00039923911076136445,0.7127966685744107,0.92495
48,0.6376007870435715,0.205625,-0.008959015337587169,0.7050915517925932,0.94995
49,0.6384976992607116,0.2008125,0.007429519917935717,0.7338312058225586,0.97495
50,0.6421106014251708,0.205,0.005043662388215669,0.7064300710026015,0.99995
