Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc
1,6.09812100982666,0.6055124393701553,3.070558815002441,0.17125
2,5.71303374671936,0.5784436833262444,2.8208153324127196,0.2425625
3,5.377032883644104,0.559759169280529,2.5782370309829714,0.285375
4,5.189605023860931,0.5602521315813065,2.388344365119934,0.330625
5,4.988479555606842,0.5510912787914276,2.2330231676101686,0.3746875
6,4.813013013362885,0.542045968234539,2.1027831563949584,0.408875
7,4.754253755092621,0.5439287118911743,2.0346102004051208,0.428375
8,4.652254595279693,0.5376881729364396,1.9638137307167054,0.4474375
9,4.6159158029556275,0.5402223440408707,1.9148040843009948,0.4603125
10,4.556160099983216,0.5353962823748588,1.8791786761283875,0.46925
11,4.518422415733338,0.5331925725340844,1.8524595451354982,0.476
12,4.461618259429931,0.531209534227848,1.8055705904960633,0.4881875
13,4.4838741617202755,0.5364484149813652,1.8016320819854736,0.4898125
14,4.451926108837128,0.5356450283527374,1.7737009620666504,0.4968125
15,4.426080631256103,0.5365807526111602,1.7431768686771394,0.509625
16,4.367437457084656,0.5286581738591194,1.7241465866565704,0.51
17,4.34177542924881,0.523339172244072,1.7250795743465424,0.5125625
18,4.362764525413513,0.5321409626603126,1.7020597245693208,0.51525
19,4.374871635437012,0.5345354405045509,1.702194424390793,0.5205625
20,4.362948713779449,0.5332629398703576,1.6966340067386627,0.5148125
21,4.323025845527649,0.5282288065552712,1.6818818160295486,0.5280625
22,4.312709276676178,0.5328747943639756,1.6483352944850922,0.5291875
23,4.31205794763565,0.5273269274830819,1.6754233071804046,0.5273125
24,4.292722348690033,0.5327433534264564,1.629005568742752,0.539125
25,4.258537225723266,0.5241682538986207,1.6376959593296052,0.537625
26,4.248391871452331,0.519773561656475,1.649524069070816,0.5336875
27,4.258474360466003,0.5311584092378616,1.6026823103427887,0.54825
28,4.232153673648834,0.5275160467624664,1.5945734400749207,0.54975
29,4.242691671848297,0.5259430030584336,1.6129766646623611,0.543
30,4.188344108581543,0.5187432307600975,1.5946279451847076,0.5499375
31,4.239393000602722,0.5311898433566093,1.5834437873363494,0.547375
32,4.236249491214752,0.5284435210824012,1.5940318757295608,0.5438125
33,4.194207737922668,0.5244070725440979,1.5721723875999452,0.5523125
34,4.162064382076263,0.5245841606855393,1.5391435792446138,0.5601875
35,4.1909786195755006,0.5274239346981049,1.5538589426279068,0.56225
36,4.191900981426239,0.5261358451247216,1.5612217562198638,0.556875
37,4.207316331386566,0.5321704626679421,1.5464640166759491,0.5618125
38,4.167492991447449,0.5271695253252983,1.5316453610658645,0.5625
39,4.181758150100708,0.5249159179329872,1.5571785587072373,0.558125
40,4.155228365421295,0.5234755998849869,1.5378503679037094,0.5675625
41,4.129728555202484,0.5212281167507171,1.5235879753828048,0.5673125
42,4.155493365764618,0.5261784712076187,1.5246010011434554,0.56775
43,4.14319107055664,0.5255912919044494,1.5152346065044404,0.5673125
44,4.120363487720489,0.5215798586010932,1.512464182496071,0.570125
45,4.1136792635917665,0.5209296582341194,1.5090309730768203,0.571625
46,4.109863450527191,0.5212105938792229,1.5038104821443559,0.571875
47,4.120611374378204,0.5227191357016563,1.5070156989097596,0.56875
48,4.138077530860901,0.5217489512562752,1.5293327674865722,0.562875
49,4.11357181930542,0.5261877012252808,1.482633308649063,0.572625
50,4.10170928144455,0.5236167768836022,1.483625391960144,0.5720625
