Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Alpha
1,6.10004656791687,0.6016287348270416,3.0919028930664063,0.16525,0.0
2,5.845167944908142,0.5719048148393631,2.9856438751220704,0.1975,0.0
3,5.737733014106751,0.5601103110909462,2.9371814575195314,0.198875,0.0
4,5.716567165374756,0.5599132882356643,2.917000717163086,0.1978125,0.0
5,5.732596516609192,0.5665199645161628,2.8999967041015626,0.2005,0.0
6,5.65217959690094,0.5595405043959618,2.8544770812988283,0.2124375,0.0
7,5.5889588613510135,0.5504807863235474,2.836554931640625,0.212375,0.0
8,5.625314085006714,0.5570069425702096,2.8402793731689453,0.213375,0.0
9,5.581200500488281,0.5536937906742095,2.8127315368652344,0.221125,0.0
10,5.500855619430542,0.5430385015010833,2.785663101196289,0.2325,0.0
11,5.51651982498169,0.5487502507567406,2.7727685623168945,0.2359375,0.02495
12,5.616493501663208,0.5443409801125526,2.894788600921631,0.19725,0.04995
13,5.578328785896301,0.5374939806461334,2.8908588790893557,0.2096875,0.07495
14,5.613507534980774,0.5440151532292365,2.8934317626953123,0.202875,0.09995
15,5.574899487495422,0.5361234756112099,2.8942821044921874,0.2056875,0.12495
16,5.590462684631348,0.5389393028020859,2.895766189575195,0.200625,0.14995
17,5.5762202892303465,0.5355994142889976,2.8982232055664063,0.2041875,0.17495
18,5.595498270988465,0.535848644733429,2.9162550354003907,0.1938125,0.19995
19,5.572629331588745,0.5340135250687599,2.902561706542969,0.198125,0.22495
20,5.577029535293579,0.5315839153528213,2.9191099548339845,0.1948125,0.24995
21,5.554063251495362,0.5298868582248688,2.904628967285156,0.2004375,0.27495
22,5.582246997833252,0.5308256124258042,2.928118927001953,0.1926875,0.29995
23,5.554653792381287,0.5282000411748886,2.913653579711914,0.1913125,0.32495
24,5.57753253364563,0.5315539252758026,2.919762908935547,0.1930625,0.34995
25,5.538550576210022,0.5263378508687019,2.906861328125,0.1970625,0.37495
26,5.560941244125366,0.5299957341551781,2.910962585449219,0.1939375,0.39995
27,5.568504872322083,0.5320724204778672,2.9081427612304687,0.1951875,0.42495
28,5.535456359863281,0.5226874101758003,2.9220193176269533,0.192625,0.44995
29,5.570972840309143,0.5314255382418632,2.9138451538085937,0.196,0.47495
30,5.555766441345215,0.5305573346614838,2.902979766845703,0.1959375,0.49995
31,5.544089388847351,0.5248753710985183,2.9197125244140625,0.1925,0.52495
32,5.521164093017578,0.5213857303857803,2.9142354431152344,0.198,0.54995
33,5.553766466140747,0.5257278726696968,2.9251271057128907,0.194,0.57495
34,5.523883621215821,0.5236746850013733,2.905510192871094,0.197875,0.59995
35,5.543526261329651,0.5253804150819779,2.916624176025391,0.1943125,0.62495
36,5.552225078582763,0.5263172301054001,2.920638916015625,0.192125,0.64995
37,5.512921681404114,0.5206260073184967,2.9097916564941406,0.193375,0.67495
38,5.55961609172821,0.5290409318804741,2.914411437988281,0.198125,0.69995
39,5.543888031005859,0.5258989632725716,2.9143932189941406,0.1905625,0.72495
40,5.553178582191467,0.5245343373417855,2.9305068969726564,0.193,0.74995
41,5.537380805015564,0.5248483904004096,2.9131388549804687,0.192,0.77495
42,5.534324129104614,0.5230944131016732,2.91885205078125,0.1975,0.79995
43,5.551870113372803,0.5263252617716789,2.9202438049316406,0.193375,0.82495
44,5.567850586891175,0.5283313777446746,2.9261936950683594,0.19475,0.84995
45,5.562084916114807,0.5272727024555206,2.925721405029297,0.190125,0.87495
46,5.585897553443909,0.5330425827503205,2.9206846313476564,0.196625,0.89995
47,5.492222929000855,0.5179481658935546,2.9024820861816405,0.1970625,0.92495
48,5.535507542610168,0.5260832836031913,2.905091125488281,0.198,0.94995
49,5.56035694026947,0.5285414037108421,2.917649932861328,0.1939375,0.97495
50,5.5317473983764645,0.5234795717597007,2.914349548339844,0.194875,0.99995
