Epoch,Train_BCE_Loss,Val_Target_AUC
1,0.6477034248113632,0.9054717454402121
2,0.6470294557809829,0.9035457053785788
3,0.6422382836341858,0.9039936216719819
4,0.6440668753385543,0.8989575494798198
5,0.6414478114247322,0.8988381051349124
6,0.6423646156787872,0.8996995974725577
7,0.6402405655384064,0.893791581562571
8,0.6446550186872483,0.8932734917165347
9,0.644016934633255,0.8955056079119935
10,0.6395601914525032,0.8868623165036252
11,0.6408650711774826,0.8927643601963666
12,0.6399033122062683,0.8956758161034865
13,0.6438054625988007,0.8875192604006165
14,0.6430610287189483,0.892649395014393
15,0.6423715789318085,0.8909876255658675
16,0.6430456560850143,0.8868190179285962
17,0.6425878508090973,0.88767901721193
18,0.6396818944215774,0.8880612391156341
19,0.6437854171991348,0.885861970115025
20,0.6404872852563858,0.8869907191744008
21,0.6425227872133255,0.8853170052913846
22,0.6425609987974167,0.8854036024414424
23,0.6398980349302292,0.8852572831189307
24,0.6409940994977951,0.8870086358261369
25,0.6423916251659393,0.8855648523070676
26,0.6414529782533646,0.882916173958744
27,0.641460277557373,0.8831461043226908
28,0.6400336209535599,0.8841613812544045
29,0.6437038787603379,0.8833327361116088
30,0.6394101898670197,0.8826832574861744
