Szpital,AUC_Best_NewLabels,AUC_Best_NewLabels_std,MCC_Best_NewLabels,AUC_Final_NewLabels,AUC_Final_NewLabels_std,MCC_Final_NewLabels,Alpha_Best_NewLabels
H1,0.8924778761061947,0.01429488302312658,0.6669681994206677,0.8730847029077117,0.014924790156950715,0.6093116123979232,0.0
H3,0.874199774967021,0.009278077499651746,0.5821534608026887,0.8707111171464783,0.013134238329309085,0.5962470342990407,0.12495
H2,0.886373917299478,0.009590626205376427,0.6059576394062817,0.8487686135500712,0.018545277736939602,0.5691399175889342,0.0
H16,0.8031991446857565,0.007738330962933615,0.3364784754624793,0.8329605655850595,0.008642645933880392,0.3768777926272204,0.0
H6,0.8099091864163932,0.011326061071019149,0.5055889882990909,0.8293705081425198,0.02550284717594628,0.5157291537790243,0.0
H26,0.8284234891561414,0.01728521195054935,0.5121870249958624,0.8284234891561414,0.013658167181692138,0.5121870249958624,0.72495
H14,0.805973793303182,0.04474426912838652,0.4419769622078907,0.815174649572707,0.026963854262489907,0.4507334251830018,0.0
H17,0.8099992822713467,0.015549953157290186,0.4710415148916553,0.8124678910865655,0.015197583531483686,0.4942283584102235,0.97495
H25,0.7750992266194181,0.005302594456233,0.4316849913865074,0.8083933216635002,0.018312308404925877,0.4929663155836348,0.0
H9,0.8294285714285714,0.03255529172498441,0.503776667409801,0.8077056277056276,0.016054706108807756,0.5069369074915944,0.07495
H13,0.8459404205607477,0.02122651534228444,0.6250670299056497,0.8048700350467289,0.021900817238291712,0.5980208674146397,0.0
H11,0.8005444646098003,0.019508828593185226,0.5739127083751323,0.795616361859556,0.012065978542199955,0.5676579474268891,0.37495
H5,0.8172627644210346,0.016579717366992174,0.4784959874736804,0.7922330303287741,0.011159275989672682,0.5221059582671608,0.14995
H4,0.8090884665422252,0.021521242493126605,0.5066254886424864,0.7857839809944,0.013298517042724426,0.5214435049049997,0.09995
H21,0.7804545454545455,0.027939341210172847,0.4931727279793982,0.7857575757575759,0.024038908270969415,0.5561459705404154,0.77495
H15,0.796908024582744,0.01932240858556644,0.4770758304505877,0.7853098706204831,0.015546782247846648,0.4751103780394228,0.72495
H8,0.82848809773889,0.03985574414797967,0.505993869126709,0.7759691232300353,0.030536557630349598,0.4801623833013776,0.0
H28,0.7571526299787169,0.011143416714246509,0.3897241912850412,0.763567953785345,0.012419436553871968,0.4166427051085334,0.07495
H12,0.7964953178056028,0.02114635448199561,0.4094773872178697,0.7542676941850595,0.013190254421536393,0.4067646753799631,0.0
H10,0.7991279730270475,0.00993650493406333,0.4816420752067712,0.7527269146997063,0.018331391133466293,0.4718111518979797,0.0
H20,0.7780785737867283,0.021582156271964716,0.4633272685981883,0.7523330031913722,0.02482983332141845,0.4854266894788627,0.0
H18,0.7410619940395323,0.008863002075549459,0.3706854818307039,0.737786324565149,0.0116657461520265,0.4221637080996896,0.0
H7,0.7775843759450317,0.00416929649227353,0.4262724939798423,0.7331722823526101,0.010875198344900017,0.3674114695733614,0.0
H27,0.7262881425353265,0.022132743464686116,0.1962876950802619,0.7219875076797052,0.024532177803739043,0.2059505420866125,0.0
H19,0.730007558578987,0.023994686086591846,0.3763418651499255,0.7148148148148148,0.03815092522668442,0.4036918109019557,0.0
H23,0.6738810055160217,0.027489269666421127,0.276557205422022,0.6518432355046527,0.03663792447686002,0.2746168784685182,0.0
