Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.341249884605408,0.6801030825376511,2.9407344703674316,0.201625,0.6732348236772749,0.7348502245388248,0.7527811189492544,0.7778094253504089,0.0
2,5.955091710090637,0.6715173205137253,2.5975051221847534,0.2774375,0.668694234556622,0.7476915033966426,0.7601629793643951,0.7819693229529295,0.0
3,5.7450168447494505,0.6651033046245575,2.4195003294944764,0.31925,0.6685484952396816,0.7257070031185701,0.7737570663293203,0.7911857993825208,0.0
4,5.561651743888855,0.6639725562334061,2.2417889757156373,0.373125,0.6622105995814006,0.7512644188444233,0.7761428833007813,0.774623569705537,0.0
5,5.409353711128235,0.6613894435167312,2.102406491279602,0.4106875,0.6634433454937405,0.76261299865927,0.7724855840206146,0.7780309583588271,0.0
6,5.335484107017517,0.6614286180734634,2.028341016292572,0.4356875,0.6604257173008389,0.7763425559947299,0.7680157204469045,0.7898003389806669,0.0
7,5.247757568359375,0.6588415358066558,1.953549878358841,0.4614375,0.6627193139659033,0.7652186009558912,0.7777704656124115,0.7688496458988262,0.0
8,5.164468104362488,0.6567395513057709,1.880770336151123,0.47725,0.6617384552955627,0.772330761460465,0.7650446812311809,0.783984218410448,0.0
9,5.144324841499329,0.6587137786149979,1.8507559444904327,0.4849375,0.6623782144652473,0.7682819130979939,0.8046294152736664,0.7723730756517642,0.0
10,5.100333877563477,0.6589993368387222,1.805337208032608,0.50275,0.6592493719524808,0.7667667099774876,0.7646213968594869,0.7737304048779459,0.0
11,5.075310527801514,0.6555168803930282,1.7977261166572571,0.502375,0.6656603674093883,0.7512182162692325,0.7942926486333212,0.7630053941529351,0.02495
12,5.048310579299927,0.6567329456806182,1.7646458547115327,0.5103125,0.6598615176147885,0.7642642574816488,0.7777138968308767,0.7710614595860497,0.04995
13,5.024458109855652,0.6561957777738571,1.7434792182445527,0.5174375,0.6589586085743374,0.7588356147528842,0.7976213653882345,0.7558495263413296,0.07495
14,5.023858015060425,0.6551200363636017,1.7482578365802766,0.51275,0.6601328935888079,0.7617107206547105,0.756844433148702,0.7784845735665408,0.09995
15,4.981029005050659,0.654565915942192,1.7081994233131408,0.5268125,0.6623012787765927,0.7371022783420808,0.7906582633654277,0.755564698187649,0.12495
16,4.996860882759094,0.6579524965286255,1.7070983996391296,0.527375,0.6685274528132544,0.6758695024781981,0.7332366526126861,0.7616023517662861,0.14995
17,4.9652162971496585,0.6570313678979873,1.6800594503879547,0.53275,0.6632520907455021,0.7635525440742832,0.8060488164424896,0.7753901442426032,0.17495
18,4.973113499641419,0.6590370483398438,1.6779282393455506,0.532125,0.6633576850096384,0.7308179725528484,0.7473038752873739,0.7669613407318325,0.19995
19,4.9478917255401615,0.6583600027561187,1.6560917234420776,0.5389375,0.6601520280043284,0.7190352563845246,0.8460318764050802,0.6984337967944525,0.22495
20,4.943617394447327,0.6569900691509247,1.6586670451164245,0.5380625,0.6605257478025225,0.7478592388326619,0.785749218861262,0.7663741024396762,0.24995
21,4.909384011268616,0.6555865392684936,1.6314513220787048,0.5470625,0.6674526168240441,0.7036004361121335,0.7535496493180592,0.7556596409055425,0.27495
22,4.894498106956482,0.6583265527486801,1.6028653440475464,0.54975,0.6631957093874613,0.7147557961266864,0.7684210499127706,0.7552552552552554,0.29995
23,4.883642341613769,0.6560534999370575,1.603374840259552,0.5550625,0.6718549311161042,0.7516387154559384,0.8820644776026408,0.7155340352061664,0.32495
24,4.86914448928833,0.6574987841844558,1.581650559782982,0.5589375,0.6663644274075826,0.6925599068302586,0.765835040807724,0.736168252561695,0.34995
25,4.871199382781983,0.6563797829151153,1.5893004717826844,0.5533125,0.6639029741287231,0.7017937005849973,0.7711058894793192,0.7589861524287753,0.37495
26,4.861747002124786,0.6564789083003998,1.579352460026741,0.5565625,0.6680514646901025,0.6574620260278262,0.7504305938879648,0.7314879282092397,0.39995
27,4.857445219993592,0.660517403960228,1.5548582044839858,0.557625,0.664031222793791,0.6854396589735396,0.7455177148183186,0.7635750504602963,0.42495
28,4.833776085853577,0.6573327406644821,1.5471123822927475,0.566375,0.6669850654072231,0.7010179412968954,0.7656154135862986,0.7527972937809003,0.44995
29,4.8536948966979985,0.6604635051488876,1.551377374768257,0.5646875,0.6644363303979238,0.7111925874485183,0.8456571181615193,0.7098831852930212,0.47495
30,4.822887686729431,0.6576313066482544,1.5347311412096023,0.570875,0.6622165295812819,0.6988588183995627,0.758380268017451,0.7622669507915409,0.49995
31,4.829218267440796,0.6584219062328338,1.5371087237596512,0.564125,0.6598290754689111,0.7226550269350267,0.8302574654420217,0.7248735855293232,0.52495
32,4.819436148643494,0.6581114000082016,1.5288791444301606,0.5763125,0.6617224203215705,0.720675073718552,0.8013584971427917,0.7553642635609848,0.54995
33,4.798799160957336,0.6568571611642837,1.5145133496522905,0.5744375,0.6634221030606164,0.7067327477954394,0.8151346405347188,0.7347511445872101,0.57495
34,4.802243805885315,0.660429629445076,1.5000956571102142,0.57675,0.6614963551362355,0.6861592150785117,0.765540764729182,0.7595065791787103,0.59995
35,4.825673241138459,0.6600492444038392,1.5254270265102385,0.5754375,0.6651060899098714,0.6936723759332455,0.7744701325893402,0.7542741805036888,0.62495
36,4.826695455551148,0.6614041118621826,1.5196749064922332,0.5719375,0.6651002360714806,0.667225973233568,0.7602379302183787,0.749903299083627,0.64995
37,4.798242587566376,0.6616975429058075,1.4897548798322677,0.5845625,0.6709067457252078,0.7380064662101338,0.8496193130811055,0.7136527628330906,0.67495
38,4.76715883731842,0.6599596061706543,1.467360802412033,0.587,0.6639270438088312,0.7120248730559136,0.841046154499054,0.7183717675520953,0.69995
39,4.783101300239563,0.6604788436889648,1.4807070875167847,0.583,0.6651081985897488,0.6631189615042443,0.7717787305514018,0.752378842542777,0.72495
40,4.748243102550506,0.6585505827665329,1.4554902087450028,0.5886875,0.661672270960278,0.7108548842461885,0.7936345438162485,0.7408802244867818,0.74995
41,4.773011929512024,0.657583359003067,1.4850951290130616,0.5829375,0.6642365442381964,0.7182255599676783,0.8347192962964376,0.7133679346794102,0.77495
42,4.747951007843017,0.6568820759057998,1.4635406205654145,0.589125,0.6634562227461073,0.7133626952757388,0.7749716341495514,0.7600656862951944,0.79995
43,4.769184824943543,0.6607550315856934,1.4654096487760544,0.588,0.6639366845289866,0.681385283776719,0.7641158958276113,0.76510468313747,0.82495
44,4.775785141944885,0.6598900163173675,1.4763350625038147,0.5856875,0.6687624626689487,0.6447569640386304,0.7499102870623271,0.756623133672314,0.84995
45,4.721975008487702,0.6594128608703613,1.4249107137918473,0.602375,0.6648175689909194,0.6955203788392318,0.8208067556222279,0.722904403232272,0.87495
46,4.750911444187165,0.6608241686820984,1.4467906028032302,0.5945625,0.6641635954380035,0.6615419991123624,0.7583710809548696,0.7563875350760596,0.89995
