Epoch,Train_Loss,Train_Cls_Loss,Train_Dom_Loss,Val_Target_AUC,Alpha
1,8.091169049263,0.6815359299182892,4.6834894118309025,0.674821247568693,0.0
2,7.714836229324341,0.6742781492471694,4.3434454870224,0.710589215472028,0.0
3,7.525298070907593,0.6675501924753189,4.187547109127045,0.7521094235722533,0.0
4,7.187567498207092,0.6604245587587356,3.8854447088241577,0.7345306513409963,0.0
5,6.908394194602966,0.658646116733551,3.615163616657257,0.7237342638204707,0.0
6,6.706354554176331,0.6590597145557403,3.4110559735298156,0.7290963603879879,0.0
7,6.553292593002319,0.6540642173290253,3.282971520423889,0.7166885013237261,0.0
8,6.435742524147034,0.6567619457244873,3.151932810306549,0.7059805561649847,0.0
9,6.2594091796875,0.6525633107423783,2.996592626094818,0.7247010750329093,0.0
10,6.186453847885132,0.6526829708814621,2.9230390009880067,0.7004321728691476,0.0
11,6.072658982276916,0.651331918001175,2.8159993970394135,0.7235093789962457,0.02495
12,6.01508336353302,0.6527105642557144,2.7515305380821227,0.680225264535835,0.04995
13,5.965662488937378,0.653251035451889,2.6994073061943054,0.714218239816,0.07495
14,5.907134016990661,0.6516329301595688,2.6489693558216096,0.69714307261957,0.09995
15,5.859588840484619,0.6491062614917755,2.614057525396347,0.6932478152480619,0.12495
16,5.837044368743896,0.6510681703090667,2.5817035188674926,0.7175484471582002,0.14995
17,5.804560632705688,0.649011442899704,2.559503413915634,0.6920549030860782,0.17495
18,5.7412167873382565,0.6478010770082474,2.502211408138275,0.7112017474999146,0.19995
19,5.720310432434082,0.6478506449460983,2.4810572135448457,0.7091107135052448,0.22495
20,5.686008996009827,0.6476070854663849,2.447973565340042,0.673677638581839,0.24995
21,5.682932317733765,0.6488914413452148,2.438475111722946,0.6795543323863635,0.27495
22,5.682193830490112,0.6510497040748596,2.426945306301117,0.6834540996630414,0.29995
23,5.638164317131042,0.6486528052091598,2.3949002854824064,0.6845156353549638,0.32495
24,5.6195884618759155,0.6501309300661087,2.368933817148209,0.6493698960208643,0.34995
25,5.574038584709167,0.6457537060976029,2.3452700481414794,0.6889764318522523,0.37495
26,5.6214026298522946,0.6485822031497955,2.3784916229248045,0.6903687189161379,0.39995
27,5.550412875175476,0.6465418386459351,2.317703689336777,0.6814364043344036,0.42495
28,5.575803100585937,0.6482887151241302,2.3343595259189605,0.6857503669067203,0.44995
29,5.544940107345581,0.6472298690080642,2.3087907721996306,0.6668317034527972,0.47495
30,5.512561524391175,0.6460293303728104,2.2824148821830748,0.6796819004061573,0.49995
31,5.528872281074524,0.6463824948072433,2.2969598031044005,0.7056816085593065,0.52495
32,5.479883854866028,0.6486641572713852,2.2365630586147307,0.7070012514446321,0.54995
33,5.457039266586304,0.648401912689209,2.2150296976566315,0.7007552973342447,0.57495
34,5.466739703178406,0.647441857457161,2.2295304045677184,0.6907082765749176,0.59995
35,5.480728126525879,0.6458565509319305,2.2514453730583193,0.6851739032220526,0.62495
36,5.42431130695343,0.6447000427246093,2.2008110945224764,0.6908866069537531,0.64995
37,5.52350237941742,0.6496931986808777,2.27503639793396,0.6847051176792556,0.67495
38,5.4440205869674685,0.6449695737361908,2.2191727130413055,0.6962441443169055,0.69995
39,5.475664537429809,0.6498214148283005,2.2265574572086333,0.6913831500325487,0.72495
40,5.4602972536087035,0.6457972019910813,2.2313112552165983,0.7095246561946509,0.74995
41,5.453483280181885,0.6484775519371033,2.2110955193042754,0.6812508975525025,0.77495
42,5.4252328119277955,0.648936628818512,2.1805496606826784,0.6618295710211926,0.79995
43,5.451660212516785,0.6468894045352935,2.2172131760120393,0.6867702419261172,0.82495
44,5.408296682357788,0.6486606429815293,2.1649934742450716,0.6976119505259191,0.84995
45,5.3806728773117065,0.6446840541362763,2.1572525913715364,0.7016738144667831,0.87495
46,5.403236541748047,0.6478323247432709,2.164074918270111,0.6992559798315193,0.89995
47,5.430713154792786,0.6494668126106262,2.1833790950775147,0.6172566220527851,0.92495
48,5.4049081144332884,0.6474744011163711,2.1675360977649687,0.6991171958469167,0.94995
49,5.350655588150024,0.6465784677267075,2.1177632527351378,0.683745171629729,0.97495
50,5.381253329277039,0.6471984777450561,2.1452609450817106,0.703122112166038,0.99995
