Epoch,Train_BCE_Loss,Val_Target_AUC
1,0.6587526737451553,0.8526301657119476
2,0.6564601405858993,0.8345661569148936
3,0.6537584612369537,0.818154792348609
4,0.6519770113229751,0.8139448649754502
5,0.6537165997028351,0.8231990333469721
6,0.6549401836395263,0.8440824468085105
7,0.6581287399530411,0.8308932590016366
8,0.6526840143203735,0.8224158653846154
9,0.6529669208526612,0.8183210157528642
10,0.6540368530750275,0.8192863901391162
11,0.6545587937831878,0.8287387479541735
12,0.6552892235517502,0.817640139116203
13,0.6554530678987504,0.8341218289689034
14,0.6535874290466308,0.8279875460310966
15,0.6546200263500214,0.8264627659574467
16,0.6577164216041564,0.8194302373158756
17,0.6554318145513535,0.8192895867430441
18,0.6555101170539855,0.8258490180032734
19,0.6551238011121749,0.8338629040507365
20,0.6529357490539551,0.8193950746726677
21,0.6520380902290345,0.8109816131342062
22,0.6530939025878906,0.8371905687397709
23,0.6558109400272369,0.8382550378477904
24,0.6535888259410858,0.8178607047872342
25,0.651141387462616,0.8179214402618659
26,0.6581724232435227,0.81739080400982
27,0.653522465467453,0.8132799713584288
28,0.6550405769348144,0.8391500869476268
29,0.6526421401500702,0.8210732917348609
30,0.6523820332288742,0.8193087663666121
