institution,method,classifier,pca,harmonisation,mcc,auc
H25,MINet-MTL,signal,NA,none,0.514,0.833
H26,MINet,signal,NA,none,0.464,0.797
H26,MINet-DANN,signal,NA,dann,0.478,0.817
H26,MINet-DANN-CF,signal,NA,dann-cf,0.478,0.82
H26,MINet-MTL,signal,NA,none,0.387,0.651
H27,MINet,signal,NA,none,0.546,0.82
H27,MINet-DANN,signal,NA,dann,0.574,0.801
H27,MINet-DANN-CF,signal,NA,dann-cf,0.581,0.867
H27,MINet-MTL,signal,NA,none,0.507,0.83
H28,MINet,signal,NA,none,0.421,0.765
H28,MINet-DANN,signal,NA,dann,0.376,0.73
H28,MINet-DANN-CF,signal,NA,dann-cf,0.419,0.74
H28,MINet-MTL,signal,NA,none,0.302,0.704
H29,MINet,signal,NA,none,0.596,0.849
H29,MINet-DANN,signal,NA,dann,0.625,0.846
H29,MINet-DANN-CF,signal,NA,dann-cf,0.634,0.853
H29,MINet-MTL,signal,NA,none,0.58,0.802
H30,MINet,signal,NA,none,0.566,0.794
H30,MINet-DANN,signal,NA,dann,0.493,0.78
H30,MINet-DANN-CF,signal,NA,dann-cf,0.563,0.785
H30,MINet-MTL,signal,NA,none,0.416,0.761
