institution,method,classifier,pca,harmonisation,mcc,auc
H24,MINet-DANN,signal,NA,dann,0.5297898191374332,0.8466493506493507
H24,MINet-DANN-CF,signal,NA,dann-cf,0.5180292094389376,0.8378874458874459
H24,MINet-MTL,signal,NA,none,0.4823288558358203,0.8224415584415584
H25,MINet,signal,NA,none,0.6422733462695982,0.8852591656131478
H25,MINet-DANN,signal,NA,dann,0.6671925217927437,0.9044500632111252
H25,MINet-DANN-CF,signal,NA,dann-cf,0.6532847334249428,0.9032869785082176
H25,MINet-MTL,signal,NA,none,0.5511492989066944,0.8828571428571429
H26,MINet,signal,NA,none,0.4643652765669326,0.7965975702998895
H26,MINet-DANN,signal,NA,dann,0.5323942115405204,0.851966697816668
H26,MINet-DANN-CF,signal,NA,dann-cf,0.5517133051817359,0.8546640047574549
H26,MINet-MTL,signal,NA,none,0.4739432474464253,0.8009090136776824
H27,MINet,signal,NA,none,0.5463272620033403,0.8197682535250593
H27,MINet-DANN,signal,NA,dann,0.5517842012664607,0.8550607287449393
H27,MINet-DANN-CF,signal,NA,dann-cf,0.5035069344267271,0.8362697193913164
H28,MINet,signal,NA,none,0.4207315073432154,0.7653313177122703
H28,MINet-DANN,signal,NA,dann,0.337310596359082,0.7438649533887629
H28,MINet-DANN-CF,signal,NA,dann-cf,0.3625472270963805,0.7379692617787856
H28,MINet-MTL,signal,NA,none,0.339857717249228,0.7188208616780045
H29,MINet,signal,NA,none,0.5964927027427326,0.8489705023364486
H29,MINet-DANN,signal,NA,dann,0.6283047555346432,0.8622225467289719
H29,MINet-DANN-CF,signal,NA,dann-cf,0.6425602525526993,0.8685747663551402
H29,MINet-MTL,signal,NA,none,0.5785408012169887,0.8402453271028036
H30,MINet,signal,NA,none,0.5655983771216104,0.7935606060606061
H30,MINet-DANN,signal,NA,dann,0.5075725269652309,0.7874242424242424
H30,MINet-DANN-CF,signal,NA,dann-cf,0.497715262650914,0.7833333333333334
H30,MINet-MTL,signal,NA,none,0.456264274967777,0.7856060606060606
