Epoch,Train_Loss,Val_Loss,Val_AUC,Test_Loss,Test_AUC
1,0.6824978061914444,0.676078259282642,0.7174619357557098,0.6633438848786883,0.8203152779423967
2,0.6711772689819336,0.6698722673787011,0.7476238423604503,0.662969226638476,0.8496418835401887
3,0.6654248217344284,0.6684934933980305,0.7482893490193383,0.6576407916016049,0.859185505534753
4,0.6682969452142715,0.6670037382178836,0.7545395398355711,0.6621327747901281,0.8499501781763523
5,0.6654778003692627,0.6710801932546827,0.7296386542861776,0.6576538913779788,0.8363715277777777
6,0.6666220695972442,0.6676373561223348,0.7478774608444889,0.6609540482362112,0.8398635668772576
7,0.6657028806209564,0.6683659023708768,0.7524016502546107,0.6669380598598056,0.8543732832643527
8,0.6624471060037613,0.6636785911189185,0.7541668117374637,0.6627838744057549,0.8606258924321751
9,0.6620236628055572,0.666868868139055,0.7483615863722775,0.6594704886277517,0.8657746148909947
10,0.6632063003778458,0.6662752787272136,0.7125852520512986,0.6708221551444795,0.8241030559755878
11,0.6649570763111115,0.6666393915812174,0.7493813665223483,0.6603102733691534,0.8678398554676847
12,0.6644196830987931,0.6661077638467153,0.7453713804897463,0.6640586025185056,0.8532426568701681
13,0.6628778878450393,0.6662384940518273,0.75073668069195,0.6573986742231581,0.8704480586377531
14,0.6639409846067429,0.6668949855698479,0.7560215741296308,0.6695578826798333,0.843740106416659
15,0.6654342340230942,0.6624238226148818,0.7661453173287608,0.6623285876380073,0.8582062005790818
16,0.6654311230182648,0.6666518535878924,0.7600983560645239,0.6553106175528632,0.8583168945461707
17,0.6618319576978684,0.662960618072086,0.7597867282675116,0.6686990095509423,0.8525627983940973
18,0.66531678378582,0.6633537352085114,0.7507639833599495,0.6575665970643362,0.8642908799532811
19,0.6615559557676315,0.666639162434472,0.7621159662940024,0.6573939985699124,0.8697606671035254
20,0.6608214815855026,0.6668361716800266,0.7667761637937123,0.6731740749544568,0.8594339750267185
21,0.6618971045017242,0.6633074892891778,0.7686659924146649,0.6612272246016396,0.8656065488053727
22,0.6631306680440903,0.6629274050394695,0.7705324440242348,0.6639669868681166,0.8703749093620108
23,0.6615278532505036,0.6649367716577318,0.7395388313251067,0.6585791889164183,0.8546694309125756
24,0.6614265499114991,0.6627176152335272,0.7672183898302092,0.6648933870924844,0.8684297195163772
25,0.6601288222074508,0.6687097125583225,0.7160723629318512,0.6605620483557383,0.846053163207448
26,0.662743041396141,0.6659379972351922,0.7594317786708282,0.6586505480938487,0.8694678412543403
27,0.6619092177152633,0.6615535908275181,0.766079585285389,0.6628796176777946,0.8589283540091179
28,0.6614398341178894,0.66540590789583,0.7539584053043389,0.6639969497919083,0.8442620171440971
29,0.6604109835624695,0.6649211883544922,0.7612678136399783,0.6667767448557748,0.8532566052029925
30,0.6615294909477234,0.6638745433754392,0.7630691770153397,0.6644569254583783,0.8572521816198528
31,0.6597018946409225,0.6627000484201643,0.7657014541998673,0.6713048931625154,0.8532515320824144
32,0.6620662053823471,0.6645401312245263,0.7596379839188115,0.6657357662916183,0.849609029713742
33,0.6605096218585969,0.6664648248089684,0.726953393771981,0.6605256795883179,0.8448323927381518
34,0.6589316211938858,0.6624193814065721,0.7675894612225272,0.6588195164998373,0.8497823079427085
35,0.6594062223434448,0.662792706489563,0.760117822690849,0.6670285380548902,0.8577862815150951
36,0.6578045003414154,0.6675847821765476,0.7351088201603665,0.6531341721614202,0.8575518472923065
37,0.6544664599895478,0.6628164112567901,0.7434481949771474,0.6631469064288669,0.846545203250372
38,0.6572937241792679,0.6672992785771688,0.7057672725543648,0.6586960951487223,0.8312412783887385
39,0.657608836889267,0.6656647284825643,0.7243798372091614,0.6608596278561486,0.8352158801161527
40,0.6561777591705322,0.6642927600277795,0.7507877762770914,0.6586618092324998,0.8530543311209065
41,0.6594078642129898,0.6633128941059112,0.7563164060288993,0.6612967285845015,0.8416561550564235
42,0.6584729529619217,0.663272742430369,0.748585496654289,0.6578764319419861,0.8457061263343987
43,0.6587297973632813,0.6624657246801589,0.7727207049179252,0.6567081411679586,0.8460810376064614
44,0.6572950586080551,0.6627283493677775,0.742226113508923,0.661504758728875,0.8426513671875
45,0.6591361793279648,0.6687484032577938,0.7067304848697171,0.6614788969357809,0.8158529800284673
46,0.6589945544004441,0.6647890898916456,0.7265766114172099,0.6618216435114542,0.8306342230902779
47,0.6585078917741776,0.6657956679662068,0.755472819216182,0.659287648068534,0.8457517688280415
48,0.6573127167224884,0.6599878682030572,0.7746978908351307,0.6582632809877396,0.8553585476345487
49,0.6578625664710999,0.6689736511972215,0.7214581124795828,0.6635734521680408,0.8294677734375
50,0.6560329576730728,0.6621763540638818,0.7681723741842645,0.6756904936499066,0.8440370417145958
