Epoch,Total_Loss,Cls_Loss,Dom_Loss,Alpha
1,6.455700546264649,0.6736648898124695,3.087376101016998,0.0
2,6.325324576377868,0.6615504978895187,3.017572100162506,0.0
3,6.263436619758606,0.6554746273756027,2.9860634694099426,0.0
4,6.225962779045105,0.6542908573150634,2.9545084924697878,0.0
5,6.22829920387268,0.6519027276039123,2.9687855634689333,0.0
6,6.193842669486999,0.6535438034534454,2.9261236543655396,0.0
7,6.189812688827515,0.6518188143968582,2.9307186207771303,0.0
8,6.183995657920837,0.6524198964834214,2.9218961787223816,0.0
9,6.151640734672546,0.6486185301542282,2.9085480847358705,0.0
10,6.148307970046997,0.6500485169887543,2.8980653772354126,0.0
11,6.153876181602478,0.646770323395729,2.9200245714187623,0.02495
12,6.1871654386520385,0.6484755952358245,2.9447874569892885,0.04995
13,6.180332150459289,0.6465504726171494,2.9475798020362856,0.07495
14,6.205704348564148,0.6485291607379914,2.963058556556702,0.09995
15,6.175392922401429,0.645564447760582,2.947570683479309,0.12495
16,6.179478519439697,0.6480413308143615,2.9392718753814697,0.14995
17,6.177817038536071,0.6469614369869232,2.94300985622406,0.17495
18,6.1742817993164065,0.6467870843410491,2.94034637594223,0.19995
19,6.180126858711243,0.6468665900230408,2.945793915271759,0.22495
20,6.181674154281616,0.646386343240738,2.9497424421310425,0.24995
21,6.161637648582459,0.642730610370636,2.947984595298767,0.27495
22,6.163428343772888,0.6443552852869033,2.941651921272278,0.29995
23,6.1703839778900145,0.6461655294895172,2.93955634021759,0.32495
24,6.1735978622436525,0.6453679102659226,2.946758313179016,0.34995
25,6.176099633216858,0.6448518308401108,2.9518404817581176,0.37495
26,6.170644998550415,0.6444778796434403,2.9482555975914,0.39995
27,6.152250566482544,0.6421080182790756,2.941710473537445,0.42495
28,6.161397004127503,0.6444267357587814,2.939263307571411,0.44995
29,6.156783441543579,0.6411812627315521,2.9508771300315857,0.47495
30,6.199502648353577,0.6488523751497268,2.9552407793998716,0.49995
31,6.177670666694641,0.6448781843185425,2.953279737949371,0.52495
32,6.170250528335571,0.644709196805954,2.946704551696777,0.54995
33,6.163707049369812,0.6436565350294113,2.945424382686615,0.57495
34,6.183897710800171,0.6453206090927124,2.957294656276703,0.59995
35,6.171308767318726,0.6441869609355927,2.950373966693878,0.62495
36,6.170780834197998,0.6427869204878807,2.956846242427826,0.64995
37,6.171886973381042,0.6430962841510772,2.9564055542945864,0.67495
38,6.166092801094055,0.6439976469278336,2.9461045632362364,0.69995
39,6.192337788581848,0.6497718586921691,2.943478487968445,0.72495
40,6.1842013349533085,0.646575870513916,2.9513219900131227,0.74995
41,6.1632122211456295,0.6424440481066703,2.95099196100235,0.77495
42,6.166376594543457,0.6433494962453842,2.9496291050910948,0.79995
43,6.188708883285522,0.6454529054164887,2.961444363594055,0.82495
44,6.147719445228577,0.6413002051115037,2.941218419075012,0.84995
45,6.199661136627197,0.6456632034182549,2.9713451256752013,0.87495
46,6.167602210044861,0.6414524513483048,2.9603399534225465,0.89995
47,6.204842490196228,0.6473293275237083,2.968195867061615,0.92495
48,6.170942893981934,0.6442340869903564,2.9497724719047547,0.94995
49,6.164743219375611,0.6422121896743774,2.9536822681427,0.97495
50,6.183867547035217,0.6462572510242462,2.952581301212311,0.99995
