Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.370807978630066,0.6805980672836304,2.9678176460266115,0.191375,0.6697748627927568,0.755548390361762,0.6605326483647028,0.7892916557219157,0.0
2,6.105882150650024,0.6705442150831222,2.753161075592041,0.2401875,0.6657418224546644,0.7431141039759768,0.643996944030126,0.8363686775822314,0.0
3,5.831478219032288,0.6656602158546447,2.5031771335601807,0.3114375,0.6655088596873813,0.7521762083264191,0.6516854365666708,0.842505787037037,0.0
4,5.648329226493836,0.6690736100673675,2.3029611678123474,0.35625,0.6631964200072819,0.7543195345730622,0.6500476151704788,0.8400748628964397,0.0
5,5.462732061386109,0.6650975795984269,2.137244160413742,0.401375,0.6636377910772959,0.7613631576730275,0.6555840522050858,0.8356244345212036,0.0
6,5.342904252052307,0.6631513582468033,2.027147468805313,0.4265625,0.6621504843235015,0.7705612394022175,0.6572900911172231,0.8427604121063539,0.0
7,5.2550178136825565,0.6622758461236954,1.9436386017799376,0.4546875,0.6656085716353523,0.7476574349952613,0.6993769258260727,0.8208735886392736,0.0
8,5.20028429889679,0.6618998745679855,1.890784925699234,0.4775,0.6627495997481876,0.732187879611298,0.6822259624799093,0.7988447212198813,0.0
9,5.164064854621887,0.6634361572265625,1.8468840761184693,0.481125,0.6646486639976501,0.757012672468552,0.6637729903062185,0.8188085480093679,0.0
10,5.104000852584839,0.6622623999118805,1.7926888544559478,0.4959375,0.6630527483092414,0.752840591298468,0.6593827207883199,0.811958430913349,0.0
11,5.066235564231873,0.6603373075723649,1.7645490345954895,0.5056875,0.6581017957793341,0.7627192743046496,0.6729160398244858,0.8230890464933018,0.02495
12,4.998941686630249,0.6556063501834869,1.7209099237918855,0.51775,0.65706899828381,0.7650795264877907,0.6578896939754486,0.819374927249447,0.04995
13,4.975741235733032,0.6592304649353027,1.6795889077186585,0.5283125,0.6589021252261268,0.751369286287089,0.6532434523105621,0.8099103009259259,0.07495
14,4.972042959690094,0.6570922701358796,1.6865815920829772,0.52675,0.6596611519654592,0.778418723017587,0.6884502023458481,0.8034689695550352,0.09995
15,4.9360609664916995,0.6595825227499008,1.638148353099823,0.5335625,0.6615868740611606,0.7093301345503139,0.6573111812273661,0.7604704783585792,0.12495
16,4.8942411489486695,0.6575617754459381,1.6064322702884675,0.5435625,0.6632424016793569,0.7527021180273723,0.6906336198250452,0.7892232249078722,0.14995
17,4.911351864814758,0.6605003333091736,1.6088501884937287,0.543125,0.6561364783181085,0.7736457497995188,0.6813986847798029,0.8097573041555115,0.17495
