Epoch,Train_Cls_Loss,Train_Dom_Acc,Train_Dom_MCC,Val_Target_AUC,Alpha
1,0.6669064891338349,0.17275,0.01347734151362374,0.7543229582335726,0.0
2,0.6580479789972306,0.1908125,0.04956175063792451,0.8154429369513169,0.0
3,0.6563881630897522,0.1949375,0.03856429947869338,0.821179169992019,0.0
4,0.6527003895044327,0.19975,0.03128087021591859,0.8182029795158287,0.0
5,0.6501766299009323,0.2105,0.056933995073804845,0.7941191141260973,0.0
6,0.6527382280826569,0.2074375,0.08136060372446602,0.7186751795690343,0.0
7,0.6475041981935501,0.213,0.07844898925948922,0.8239225857940942,0.0
8,0.6460641309022903,0.2085625,0.08662046222765778,0.8125665070497474,0.0
9,0.6483822952508926,0.211375,0.08694195748805007,0.7997223330673051,0.0
10,0.6489798247814178,0.2124375,0.08134641017461933,0.8112945597233308,0.0
11,0.6447605487108231,0.1945625,0.02511416273365585,0.7968209630220804,0.02495
12,0.6468784275054932,0.19225,0.015569442416013223,0.8114358872040437,0.04995
13,0.6481415172815322,0.188125,0.018040844985547744,0.8004040303272146,0.07495
14,0.645411233663559,0.194,0.00836411913473227,0.8173300744878957,0.09995
15,0.6486717077493668,0.1883125,0.008662961734313192,0.7838271481777068,0.12495
16,0.6464695816040039,0.1940625,-0.003285577529316702,0.8144536445863262,0.14995
17,0.6427343482971192,0.1920625,-0.0007593086600848872,0.8239142724128756,0.17495
18,0.6442564414739609,0.187625,0.0030480398643777953,0.7733273476988561,0.19995
19,0.6454343301057816,0.194375,0.012160566358596102,0.7913673849428038,0.22495
20,0.6441766748428345,0.1930625,0.01590076733179359,0.7981677307794627,0.24995
21,0.6455725040435791,0.193375,0.02237167737987325,0.7586209763234901,0.27495
22,0.6477940585613251,0.192,-0.0028587111421064936,0.7965881883479649,0.29995
23,0.6434988634586334,0.1929375,0.010194126778928269,0.7861964618249535,0.32495
24,0.6455873917341233,0.1930625,0.009958041605377338,0.7884992684224528,0.34995
25,0.6466677299737931,0.1911875,0.011023269929049,0.7795374434690078,0.37495
26,0.6449430092573166,0.19275,-0.0009591252393363368,0.8221850891194469,0.39995
27,0.6462178387641907,0.1945625,-0.005530976728199296,0.7734021681298218,0.42495
28,0.641892991900444,0.18975,0.008759475449816744,0.8070381085395052,0.44995
29,0.6439863834381103,0.1919375,0.007846700652360239,0.7987579808459697,0.47495
30,0.6458550081253052,0.1946875,0.0011359119542161866,0.7778830806065442,0.49995
31,0.6396001477241516,0.197875,0.015239608636976383,0.8000216147911678,0.52495
32,0.6460480065345764,0.193875,0.005215712707896498,0.8402334397446128,0.54995
33,0.6469541796445847,0.192625,-0.0007542667450902051,0.8114691407289174,0.57495
34,0.6436623606681824,0.196875,0.008506751725525046,0.8140213487629688,0.59995
35,0.6460334068536758,0.195375,0.005724509756392963,0.7953993748337324,0.62495
36,0.6465506732463837,0.1953125,0.020749594872553775,0.799738959829742,0.64995
37,0.6440982273817062,0.1939375,0.01932336915261382,0.815933426443203,0.67495
38,0.6423855024576187,0.1911875,0.007526360223068733,0.8001546288906624,0.69995
39,0.6461079100370407,0.1968125,0.022275093227923894,0.8174714019686086,0.72495
40,0.6439055857658387,0.1916875,0.02018846945317314,0.7971618116520351,0.74995
41,0.6438128049373627,0.1908125,0.010499488076833402,0.7750814711359403,0.77495
42,0.6431951172351837,0.1880625,0.008911867694992349,0.8014847698856079,0.79995
43,0.6478019247055053,0.1918125,0.015167623351283651,0.8197742085661079,0.82495
44,0.6453515083789826,0.1959375,0.014036096525129074,0.8085511439212556,0.84995
45,0.6403215415477753,0.195875,0.006773872532225789,0.8011189811119979,0.87495
46,0.6446078405380249,0.1915625,0.00111374524562302,0.7779911545623837,0.89995
47,0.6398466372489929,0.19225,0.006222038452090092,0.8014930832668263,0.92495
48,0.6453334783315658,0.193625,0.014210395969293552,0.8284118116520351,0.94995
49,0.6421461861133575,0.1906875,0.00905066527497271,0.8002959563713754,0.97495
50,0.6475049340724945,0.18975,0.0010460123080569205,0.7904030327214685,0.99995
