Epoch,Train_Cls_Loss,Train_Dom_Acc,Train_Dom_MCC,Val_Target_AUC,Alpha
1,0.6701131016016006,0.162125,0.03442824310331302,0.7549688464880656,0.0
2,0.6607914717197418,0.1905625,0.02383100307067671,0.8134163477360549,0.0
3,0.6554256957769394,0.202875,0.05020637834943913,0.8125751104701685,0.0
4,0.6548180227279663,0.208375,0.07017574999665402,0.7888402018969438,0.0
5,0.6541492011547089,0.2145625,0.06755287444174833,0.738851295135615,0.0
6,0.6561892477273941,0.2103125,0.060291850913075734,0.7698568972211438,0.0
7,0.6518898259401321,0.2059375,0.09686373841552388,0.8091824283099452,0.0
8,0.6548402918577194,0.2089375,0.07033033392267936,0.7954684120028843,0.0
9,0.6490767422914505,0.2135625,0.08555271717615183,0.7802198310129975,0.0
10,0.6474574142694474,0.20875,0.08267084859089607,0.8109943239595466,0.0
11,0.6507517039775849,0.1995,0.0505668348280878,0.7841163310961969,0.02495
12,0.6453134666681289,0.1905625,0.026147829593448132,0.7904209884075656,0.04995
13,0.6468908749818801,0.1948125,0.036977474598113166,0.8015049827130364,0.07495
14,0.6479909957647324,0.1920625,0.041770696244373275,0.7640421912844121,0.09995
15,0.648266229391098,0.1945625,0.02278700755237039,0.766630613640986,0.12495
16,0.6443413574695587,0.1863125,0.035296545785378323,0.8125566217390501,0.14995
17,0.6472645752429962,0.1888125,0.012912425358225099,0.7578946881875497,0.17495
18,0.6477847570180892,0.1971875,0.005823190754674599,0.7570996727494593,0.19995
19,0.6452025308609008,0.1960625,0.02037958929283779,0.8071486678869229,0.22495
20,0.6426051547527313,0.1911875,0.0040479404351259326,0.8071810231663802,0.24995
21,0.6437364209890366,0.1943125,0.015078297439762491,0.7998687300090596,0.27495
22,0.6451638262271882,0.1915,0.012560464906126107,0.7901344130752307,0.29995
23,0.644867409825325,0.190625,0.019105767445115197,0.8180801301606672,0.32495
24,0.6392359426021575,0.1901875,0.002021698969097576,0.7798546785734096,0.34995
25,0.6437407780885697,0.1855625,0.029204161595132175,0.7887246473274538,0.37495
26,0.643031152844429,0.1954375,0.006682044612796101,0.8042228261874388,0.39995
27,0.6413019412755966,0.1893125,-0.0075697697590348025,0.8076709745410173,0.42495
28,0.6439192588329316,0.190625,0.014650240897471599,0.8073566661120047,0.44995
29,0.6433416426777839,0.19475,0.019572759401633347,0.8234927061955738,0.47495
30,0.6401903837919235,0.1975625,0.006349315261051302,0.81175698411818,0.49995
31,0.6401468095779419,0.1963125,0.0010364526563658497,0.8112716549263224,0.52495
32,0.6456517297029495,0.19425,0.015035949131103437,0.8255126000702571,0.54995
33,0.6419135681390762,0.19075,0.018767988205417065,0.8244494980309502,0.57495
34,0.642193416595459,0.19025,0.014877395882677953,0.8007977887477582,0.59995
35,0.6395510715246201,0.1924375,0.013738386600467976,0.8275001386654834,0.62495
36,0.6455186923742294,0.19225,0.0024456631016950684,0.8332547562260801,0.64995
37,0.6415245702266693,0.191375,-0.003022243494471736,0.8185978146319819,0.67495
38,0.6418637912273407,0.1953125,-0.004820953378489607,0.8152513542995544,0.69995
39,0.6405763992071152,0.195,0.012512272809566733,0.8117015179248248,0.72495
40,0.6424587275981903,0.19525,0.016689437303055214,0.8130234621997893,0.74995
41,0.6426524432897568,0.190375,-0.013588393814143788,0.8159585482648325,0.77495
42,0.6377793898582459,0.194,0.022222164512212983,0.8272597851609444,0.79995
43,0.6472906028032303,0.191125,0.006985178048023751,0.8201000240353505,0.82495
44,0.6434695875644684,0.1934375,-0.019358257863115975,0.8314705936731561,0.84995
45,0.6442539930343628,0.191875,0.00717441292368853,0.8137676336273043,0.87495
46,0.6423909044265748,0.1915,0.0019061155870598082,0.8074768428642742,0.89995
47,0.6390381680727005,0.19475,0.0020488986336195496,0.8208303289145267,0.92495
48,0.6443210979700088,0.1940625,0.005837219906889865,0.8181309741712427,0.94995
49,0.6468201546669007,0.190125,-0.007922475931063778,0.8042644258324552,0.97495
50,0.6417263121604919,0.1990625,0.013833005354947794,0.826474014088413,0.99995
