Epoch,Train_Loss,Val_Loss,Val_AUC,Test_Loss,Test_AUC
1,0.6820428893566132,0.6797634018792047,0.7341203337725077,0.7190260191758474,0.6928193499622072
2,0.6694825185537339,0.6687389645311568,0.7389361603852588,0.6885115537378523,0.7362559838750315
3,0.6660128080844879,0.6713741772704654,0.7607876499003344,0.7057462135950724,0.7360684548184548
4,0.6658163815736771,0.664926732911004,0.7594802919238685,0.700187967883216,0.7403712527297995
5,0.6671086720228195,0.6662075671884748,0.7515435755726968,0.7010600103272332,0.7282774138045134
6,0.664435694694519,0.6675923817687565,0.7533207154842283,0.7144157588481903,0.7262729861877089
7,0.6641129138469696,0.6674739923742082,0.7549993878403006,0.7135354578495026,0.7215968608150574
8,0.6636164718866349,0.6636717266506619,0.7548521693351337,0.7006386485364702,0.7397161333669271
9,0.6648592938184739,0.6681770927376217,0.7430613152699763,0.7012869550122155,0.7594384885182979
10,0.6668243012428283,0.6658008476098378,0.7342232137155912,0.6939369042714437,0.7232536764705881
11,0.6632566677331925,0.6655284921328227,0.7582249308871576,0.7015108168125153,0.7304963958060289
12,0.6640633943080902,0.6622449152999454,0.7561616161616163,0.7026061680581834,0.7189964275719013
13,0.663441123008728,0.663978538248274,0.7539848084040494,0.7149641844961379,0.7412500207837986
14,0.6652617572546006,0.6635446654425727,0.7726598668981481,0.6964776648415459,0.7302958109986104
15,0.6614033613204956,0.6610741251044803,0.7678273063012223,0.6992255614863502,0.7320688502673798
16,0.6604367154836654,0.6615777254104614,0.764845187232973,0.6935848030779097,0.7287058033089779
17,0.6614649987220764,0.6667315165201823,0.7613578137056327,0.6948000689347585,0.7364364930249572
18,0.6604086720943451,0.6642174945937263,0.763707133446264,0.7223952545060052,0.7457971256684492
19,0.6615691292285919,0.6639327194955614,0.7545425260318402,0.7016676863034567,0.698286722096246
20,0.6613681890964508,0.6660143024391598,0.7488277352050065,0.6843320031960806,0.7229935320818716
21,0.6623476511240005,0.6623028377691905,0.7593891159497171,0.7173132002353668,0.7443863110043744
22,0.6603392882347107,0.6668985678089989,0.7512593968253809,0.6865470939212375,0.7537452405101175
23,0.6600538276433945,0.6661094175444708,0.745387149958995,0.7023070620165931,0.7335963867381378
24,0.6600797163248062,0.6611241724756028,0.7606505091788838,0.700204998254776,0.7331791317518068
25,0.6578659483194351,0.6684894919395447,0.6929723004873973,0.6822197470400069,0.7228108288770053
26,0.6579968122243881,0.6627296381526523,0.7669256094496103,0.695392476187812,0.7255563953976654
27,0.6565676797628403,0.6648565981123182,0.697092817644033,0.7080446845955319,0.7098163030998852
28,0.6577975565195083,0.6625677929984198,0.760361053037041,0.7023397617869906,0.7126336898395722
29,0.6584641485214233,0.6570433755715688,0.7589064218563089,0.7064961261219449,0.7373328877005348
30,0.6586671302318573,0.6630327198240492,0.7501548847175727,0.6937098933590783,0.7549136390708755
31,0.6584923168420792,0.6646031571759118,0.7469894411226892,0.6918892661730448,0.7136109456687181
32,0.65832541680336,0.6603130208121406,0.7388905201079115,0.7059258189466264,0.7223533910845817
33,0.6586680209636688,0.6609756045871311,0.7193331263283723,0.6923605369196998,0.6983075243200316
34,0.6576868586540222,0.6618950823942821,0.735252972486934,0.7171442608038584,0.7252498180133676
35,0.6577622717618943,0.6622492399480607,0.7449464677880167,0.6974421342213949,0.7424599874403843
36,0.6581681807041169,0.6637659735149808,0.7414704773077558,0.6934041413995955,0.7370433799444657
37,0.6564314891099929,0.6611616763803694,0.767455211577028,0.6937337716420492,0.7424889153596718
38,0.6565916298627853,0.6626874903837839,0.7778334826502439,0.6906800601217482,0.7355386329248624
39,0.656923431634903,0.6606137096881867,0.7179460846079636,0.6931324435604943,0.7007808880947654
40,0.6579843443632126,0.6594523052374522,0.7729902754250582,0.6955995096100701,0.7359539408378002
41,0.6576065382957459,0.663132760922114,0.7211337481620561,0.6914044817288717,0.717956592956593
42,0.6595799905061722,0.664075501759847,0.7725568304979971,0.6902959644794464,0.7261577465716214
43,0.6606165649890899,0.6656170037057665,0.697168169688786,0.6898563504219055,0.6974431818181818
44,0.6548481260538102,0.6616419461038378,0.6964143296317209,0.6892605920632681,0.7373057865121356
45,0.6558908891677856,0.658194347222646,0.7618433019574324,0.717459479967753,0.7210694266225434
46,0.6571990607976913,0.6652400619453854,0.759303342548379,0.692924439907074,0.765276867627785
47,0.6602859266996384,0.6589983754687839,0.7682732919254658,0.6993250019020505,0.7431901737967914
48,0.6603748172521591,0.6614475117789375,0.7712678739935245,0.6941702465216318,0.7539020721925134
49,0.6548774282932281,0.6618346995777554,0.7636036056860055,0.6902847157584296,0.7367186342459213
50,0.6559302963018417,0.6609752496083577,0.7578315344134043,0.6982033683194054,0.7419181391039641
