Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Alpha
1,6.437739614486694,0.6835032578706741,3.0202233276367187,0.1788125,0.0
2,6.067204937934876,0.6730373357534408,2.702018253326416,0.2618125,0.0
3,5.896442336082458,0.6734127540588379,2.52937855052948,0.2956875,0.0
4,5.717252164840699,0.6695712257623673,2.3693960247039794,0.3339375,0.0
5,5.599787006378174,0.6691739023923874,2.253917497634888,0.3660625,0.0
6,5.519596507072449,0.6681400052309037,2.1788964817523957,0.390625,0.0
7,5.416591890335083,0.6642780635356903,2.0952015726566313,0.4134375,0.0
8,5.333512822151184,0.6653902833461761,2.0065614113807677,0.4376875,0.0
9,5.267999934196472,0.6635551843643188,1.9502240135669708,0.452625,0.0
10,5.191338736534119,0.6631396471261978,1.8756404914855958,0.47775,0.0
11,5.138400822639466,0.6617883895635605,1.8294588780403138,0.4870625,0.02495
12,5.114739754676819,0.6651307653188705,1.7890859298706054,0.495625,0.04995
13,5.100879458427429,0.6646251825094223,1.7777535507678985,0.503625,0.07495
14,5.075541830062866,0.6622675102949143,1.7642042827606201,0.5031875,0.09995
15,5.033415211677552,0.6625957536697388,1.7204364426136016,0.5138125,0.12495
16,5.0228733587265015,0.6620380374193191,1.7126831760406493,0.5130625,0.14995
17,4.993905331611633,0.6624947696924209,1.6814314868450164,0.5245625,0.17495
18,4.983837264060974,0.6618616293668746,1.6745291156768798,0.5290625,0.19995
19,4.999513454437256,0.6657187423706055,1.670919741153717,0.52825,0.22495
20,4.991969979286194,0.6639489295482636,1.6722253332138062,0.5275,0.24995
21,4.961506587028503,0.6624886611700058,1.649063278913498,0.5320625,0.27495
22,4.963613474845887,0.6652132624387741,1.6375471692085266,0.5378125,0.29995
23,4.931998302459717,0.6620110502243042,1.6219430503845216,0.5401875,0.32495
24,4.9457641115188595,0.6657558249235154,1.6169849989414216,0.543,0.34995
25,4.91117377948761,0.6610644693374634,1.6058514345884323,0.539625,0.37495
26,4.904266213417054,0.6597905550003051,1.605313437461853,0.5460625,0.39995
27,4.893167016029358,0.6625647784471512,1.5803431252241134,0.552875,0.42495
28,4.908649815559388,0.6636675122976303,1.590312260746956,0.54525,0.44995
29,4.897038187980652,0.6626098426580429,1.5839889693260192,0.55125,0.47495
30,4.890884922027588,0.661379847407341,1.5839856882095338,0.5489375,0.49995
31,4.874610609054566,0.6631345237493516,1.558937985777855,0.5559375,0.52495
32,4.877957168579101,0.6635002399682999,1.5604559817314148,0.5613125,0.54995
33,4.865066112518311,0.6629317129850387,1.5504075422286987,0.5556875,0.57495
34,4.871806606292725,0.6652905277013779,1.545353973865509,0.560375,0.59995
35,4.868540779113769,0.665334376335144,1.5418689053058625,0.560125,0.62495
36,4.854341925144196,0.6633088299036026,1.5377977715730666,0.564875,0.64995
37,4.849744688987732,0.6632299872636795,1.5335947462320327,0.5645,0.67495
38,4.868712905883789,0.6618625431060791,1.559400202035904,0.5614375,0.69995
39,4.8482289810180665,0.6620693140029907,1.5378824155330657,0.5605625,0.72495
40,4.821034035682678,0.6612301297187805,1.5148833912611008,0.563625,0.74995
41,4.8222798671722416,0.6632750836610795,1.505904448032379,0.57025,0.77495
42,4.830473255157471,0.6617313650846481,1.521816430568695,0.566125,0.79995
43,4.831398976325989,0.6634719445705414,1.5140392438173293,0.5634375,0.82495
44,4.824684659004212,0.6620592544078827,1.5143883833885192,0.5668125,0.84995
45,4.807426096916199,0.665250489115715,1.481173659324646,0.573375,0.87495
46,4.839755850791931,0.6637786437273026,1.5208626301288606,0.5655,0.89995
47,4.82122428894043,0.6632984535694122,1.504732034802437,0.570875,0.92495
48,4.800123534679413,0.6612512675523758,1.4938671901226044,0.5703125,0.94995
49,4.78099692440033,0.6639349353313446,1.46132224881649,0.5829375,0.97495
50,4.797862374305725,0.6625978029966354,1.4848733621835708,0.5754375,0.99995
