Epoch,Train_Loss
1,0.7113552374839782
2,0.6933553346395492
3,0.6800733956098557
4,0.6740894143581391
5,0.6724693940877915
6,0.670413599729538
7,0.668169408917427
8,0.6700674030780792
9,0.6696689118146897
10,0.6654991284608841
11,0.6679526590108872
12,0.6675320545434952
13,0.6669728202819825
14,0.6642046781778336
15,0.6664592475891113
16,0.6655949138402939
17,0.6655691224336624
18,0.6626481297016144
19,0.6643468368053437
20,0.6664000837802887
21,0.6643879979848861
22,0.6651874179840088
23,0.665024288892746
24,0.6659306732416153
25,0.6642958364486694
26,0.6649435557126999
27,0.6659522073268891
28,0.6633442648649216
29,0.662384889960289
30,0.661569769024849
31,0.662434895992279
32,0.6619017713069916
33,0.6638629823923111
34,0.663645326256752
35,0.6618516318798066
36,0.6647936151027679
37,0.6625224683284759
38,0.6633441753387451
39,0.6633791751861572
40,0.6640935977697372
41,0.6637522312402725
42,0.6625003712177276
43,0.6591307890415191
44,0.6622848318815231
45,0.6600754963159561
46,0.662520012140274
47,0.6613782774209976
48,0.6628699206113815
49,0.6609138534069061
50,0.6616345238685608
