Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.41743402671814,0.679358514547348,3.020641445159912,0.1783125,0.6732942389117347,0.7448212845331721,0.7037260276930672,0.6848728393702521,0.0
2,6.291649651527405,0.6713947097063064,2.93467610168457,0.2008125,0.6669581784142389,0.7271332425892317,0.6771039281572614,0.7673381040727979,0.0
3,6.2734106750488285,0.6720523189306259,2.9131490783691407,0.2035625,0.6707717451784346,0.7477346181213405,0.6724639236927032,0.7440738065532865,0.0
4,6.249723450660706,0.6691664001941681,2.9038914489746093,0.20375,0.6718658930725522,0.751111615245009,0.6790516631943839,0.7467113183181212,0.0
5,6.221968282699585,0.6694274219274521,2.8748311614990234,0.2108125,0.6725757877031963,0.7431343182694071,0.6709174300943103,0.7668264495370675,0.0
6,6.229651830673218,0.6694304426908493,2.8824996185302734,0.20525,0.6652524265978071,0.7670112725588513,0.6768684983253479,0.748781612223393,0.0
7,6.201618056297303,0.6658397847414017,2.8724191284179685,0.2055,0.6736744768089719,0.749456367304247,0.6842303701809475,0.705848573195512,0.0
8,6.1879521093368535,0.6676318706274033,2.8497927551269533,0.2128125,0.6686388558811611,0.7492976547138954,0.6783601003033775,0.7426567439409905,0.0
9,6.1765622682571415,0.6644998803138733,2.8540628662109375,0.2056875,0.6662657565540737,0.7574027759024101,0.666432091167995,0.7598870056497176,0.0
10,6.173377709388733,0.6659593487977982,2.8435809631347655,0.211875,0.6703798552354177,0.7489722033337435,0.6757278570107051,0.7611355527830674,0.0
11,6.20946346282959,0.6659515925645828,2.879705505371094,0.205625,0.66712998814053,0.7643139574393115,0.666583103793008,0.7460464705362666,0.02495
12,6.2290105037689205,0.6649665170907975,2.9041779174804687,0.1975625,0.668516794178221,0.7314541568889956,0.6759519236428397,0.7573378839590443,0.04995
13,6.234339007377624,0.6655367389917374,2.906655303955078,0.1944375,0.6661109076605902,0.7362620642121406,0.678722871201379,0.7362620372824453,0.07495
