Epoch,Train_BCE_Loss,Val_Target_AUC
1,0.6435175294876099,0.7745787435524283
2,0.6435531724691391,0.7820880853173031
3,0.6424512985944748,0.8219419441282113
4,0.6426908937692642,0.8034595461784579
5,0.6453070027828216,0.8173886777734274
6,0.6445039702653885,0.8134881278673164
7,0.6444423105716706,0.8014194654239648
8,0.6457380439043046,0.8170373949735157
9,0.6421299265623093,0.8005247457749874
10,0.6436763130426407,0.8098018934755891
11,0.6419198724031449,0.817081585878224
12,0.6399890398979187,0.8042361216417366
13,0.6417036236524581,0.793313593597581
14,0.6434401415586471,0.7641514629584784
15,0.6426605743169784,0.7843209048064164
16,0.6428148821592331,0.7843393884114587
17,0.6440441690683365,0.7597897093849184
18,0.6445715646743775,0.7571933852835803
19,0.6429372701644898,0.7737646539152424
20,0.6430002993345261,0.7966759311021736
21,0.6438924107551575,0.7873044415725697
22,0.6428101568222045,0.7993747071857468
23,0.6412906421422958,0.780323825216013
24,0.6423737791776657,0.7997610522527744
25,0.645795237660408,0.7832845592490074
26,0.6421700026988983,0.7566216194806636
27,0.6440488731861115,0.7262677489760462
28,0.6452440408468246,0.7508558097742811
29,0.6449676983356476,0.7724162372057617
30,0.64518705868721,0.7842615309404233
