Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.365557967185974,0.691544159412384,2.9078371682167052,0.2128125,0.6841854479577806,0.693205609997032,0.687175203114748,0.7351917699151522,0.0
2,5.990742060661316,0.6766643724441528,2.6074201946258544,0.282125,0.672741425037384,0.7468889425997661,0.6818567973872026,0.746922697116639,0.0
3,5.75651950454712,0.6698412944078446,2.4073130440711976,0.32375,0.672247917122311,0.7554431269213879,0.6810728448132674,0.775325640051135,0.0
4,5.602975752830505,0.6685188347101212,2.260381597995758,0.36275,0.6699738277329339,0.7571333207854948,0.6796184927225113,0.7851762582358339,0.0
5,5.447947931289673,0.6660516220331192,2.117689812898636,0.4033125,0.6705520861678653,0.7307480200677918,0.6808136912683646,0.7293365407870642,0.0
6,5.371962509155273,0.6663113559484481,2.0404057164192198,0.4288125,0.6713689605394999,0.7449631396542549,0.6846713237464428,0.7697798299330866,0.0
7,5.279223176956177,0.6627841691970825,1.9653023352622987,0.4500625,0.6689728630913628,0.7486529895225547,0.6795986145734787,0.7612341427263613,0.0
8,5.208289412498474,0.6617317459583283,1.8996306850910187,0.4649375,0.6697625014517042,0.7383452796710414,0.67902189741532,0.7398918787373105,0.0
9,5.134374540328979,0.6614814727306366,1.8269671728610992,0.4851875,0.6701656526989407,0.7332272056687924,0.6787861945728461,0.7575100967044701,0.0
10,5.080179511070251,0.6584007855653763,1.788175577878952,0.4974375,0.6691599951850044,0.7338535841024858,0.6790691937009493,0.7267118577463405,0.0
11,5.035801991462708,0.6587988294363022,1.7418078517913818,0.504125,0.6678113314840529,0.7035842884139202,0.6813355100651582,0.6458502487648136,0.02495
12,4.963194361686707,0.6571575103998184,1.6774068077802657,0.5239375,0.6660154620806377,0.7037204758387591,0.6817511295278867,0.6607210934453928,0.04995
13,4.966311268806457,0.6607422325611114,1.6626001110076905,0.53025,0.6667372445265453,0.7210574765057396,0.6806425638496876,0.720246501754538,0.07495
14,4.957415219783783,0.6600990127325058,1.6569201619625091,0.53175,0.6649288627836439,0.6992958124898617,0.6807502036293348,0.6844241044988209,0.09995
15,4.922739991188049,0.6606451847553253,1.6195140697956085,0.537625,0.6634248508347406,0.7403908489149721,0.6742693322400252,0.7343669021870574,0.12495
16,4.884670493125916,0.6588610284328461,1.5903653483390807,0.5491875,0.6637027588155534,0.7159999678404726,0.6794692253073057,0.7162277402651924,0.14995
17,4.8931387686729435,0.6596123558282853,1.5950769941806793,0.54825,0.6653259383307563,0.737586850536566,0.6797111394504706,0.7201182582050606,0.17495
18,4.871974439620971,0.6597140780687332,1.5734040495157242,0.5491875,0.6663408795992534,0.6919275566447362,0.680563397705555,0.6672299178046306,0.19995
19,4.8522394075393676,0.6574384073019027,1.5650473790168762,0.55675,0.6677490214506785,0.675673930532406,0.6796241104602814,0.6608409200843036,0.22495
20,4.83875278711319,0.658069923877716,1.5484031710624695,0.562875,0.6676943990919325,0.706798914528678,0.680503360927105,0.6547531765341984,0.24995
21,4.818348997116089,0.6587221384048462,1.524738312959671,0.5623125,0.6672674669159784,0.6732381843142607,0.6794181230167547,0.6485689544967695,0.27495
22,4.783494303703308,0.658329234957695,1.4918481205701828,0.5704375,0.665329944425159,0.7278489949393969,0.6803530231118202,0.7305057241350883,0.29995
23,4.803641933441162,0.658721069931984,1.510036582350731,0.5674375,0.6677677611509959,0.6743504395019966,0.6792068779468536,0.6337345228440119,0.32495
24,4.789632023334503,0.660426109790802,1.487501474738121,0.57525,0.6649213420020209,0.7261304301807213,0.6779910040398439,0.734548828396607,0.34995
25,4.7670657954216,0.6587992498874664,1.4730695316791533,0.5801875,0.6655394819047716,0.6836817868122216,0.6818297232190768,0.651150537262896,0.37495
26,4.782840394973755,0.658465809226036,1.490511338353157,0.580125,0.6615556458632151,0.7071453817745119,0.6789552097519239,0.7033753993472665,0.39995
27,4.782301057815552,0.6598662950992584,1.4829695812463761,0.5810625,0.6655352844132317,0.6713512773063367,0.6813676208257675,0.6384774263314409,0.42495
28,4.769662591457367,0.6578060913085938,1.480632127046585,0.577625,0.6701870375209384,0.7143564734439302,0.6806055828928947,0.7210630041023501,0.44995
29,4.754955264091492,0.6573223049640655,1.468343725323677,0.5810625,0.6637908425596025,0.6841637158119777,0.6765098385512829,0.6709275558857064,0.47495
30,4.7313725938796996,0.6546321811676026,1.4582116771936418,0.5829375,0.67075251672003,0.6303340685939997,0.6839344364901384,0.5861789672884563,0.49995
31,4.785742130756378,0.6611963415145874,1.4797604267597197,0.58025,0.6713023119502597,0.6347234449443586,0.6826661564409733,0.6005124277839125,0.52495
32,4.761822237014771,0.6601552294492722,1.4610460900068283,0.5845625,0.6689474682013193,0.7211755823206017,0.6824818998575211,0.7102302357113057,0.54995
33,4.718024990558624,0.6552859859466553,1.441595067858696,0.585625,0.6707711001237233,0.7155482040639376,0.682653990884622,0.6974462737103962,0.57495
34,4.742430616378784,0.6577760162353515,1.4535505447387695,0.58425,0.6876495076550377,0.7170898931430085,0.6888578832149506,0.7360796379466106,0.59995
35,4.750434491157532,0.6606816648244858,1.4470261664390565,0.5868125,0.6639083610640631,0.666769333101247,0.6820140046377977,0.6389976634855069,0.62495
36,4.723019160747528,0.6585763903856278,1.430137224793434,0.5894375,0.6630995922618442,0.6691446138402659,0.6780946602423986,0.6548377414227965,0.64995
37,4.7473696169853214,0.6596884500980377,1.4489273813962937,0.58525,0.6660633279217614,0.6595259426563774,0.6816878467798233,0.6215780998389694,0.67495
38,4.733451040267944,0.6588571282625199,1.4391653940677642,0.587125,0.663006599744161,0.6817070625165585,0.6797483911116918,0.6424717603688617,0.69995
39,4.7176770186424255,0.6557088197469711,1.439132915019989,0.5905,0.6642279883225759,0.6586364192872455,0.6818725367387136,0.6346702123021928,0.72495
40,4.727554123878479,0.6567142391204834,1.4439829261302948,0.584375,0.666752854320738,0.7135649571688918,0.6815120689570904,0.6918322622485599,0.74995
41,4.70913587808609,0.6598806365728378,1.4097326991558075,0.5935625,0.670916469891866,0.6996468962050766,0.6861544524629911,0.6888218602434693,0.77495
42,4.722365283489228,0.6584001108407974,1.43036472594738,0.5895625,0.6683260175916884,0.7161686901202418,0.6829021833837032,0.7011666805965414,0.79995
43,4.728971376895904,0.6602243467569351,1.4278496310710906,0.58625,0.6656102432145012,0.6792474102703303,0.6757107935845852,0.6733549608002163,0.82495
44,4.684176287651062,0.6557912064790725,1.4052202653884889,0.5986875,0.6664061778121524,0.6396558209469418,0.6810727218786875,0.6163507776285578,0.84995
45,4.708933282852173,0.6594626778364181,1.4116198949813843,0.5964375,0.6670634528001149,0.6803465124960861,0.6768588510652384,0.6804585022979184,0.87495
46,4.69285281085968,0.6591230838298797,1.3972373955249786,0.598625,0.6706185056103601,0.7315711504147375,0.6847784469525019,0.7049040419356237,0.89995
47,4.699936408042908,0.6581942156553269,1.40896533036232,0.5934375,0.6634503702322642,0.6991842533098638,0.678152627001206,0.6736148785381523,0.92495
