Epoch,Train_Loss,Val_Loss,Val_AUC,Test_Loss,Test_AUC
1,0.6800032941102981,0.6688654416137272,0.7524378135937015,0.7015614062547684,0.7633123712225275
2,0.6676391352415085,0.6642469439241622,0.7414026686148733,0.6844865158200264,0.7550097804241049
3,0.6654808198213578,0.6684611750973596,0.7553598636728148,0.6928459834307432,0.7680108220152733
4,0.6654323817491531,0.6656601263417138,0.7652510053197596,0.7043753849963347,0.783533473552675
5,0.6667833473682404,0.6593255394034916,0.7607515598924393,0.6792917102575302,0.7649061790951824
6,0.662518015384674,0.6635871198442247,0.7461035031591454,0.6958094419290622,0.7732483580872253
7,0.6632051347494126,0.6606031656265259,0.7663865617899951,0.6955360596378645,0.7765593729376659
8,0.6623406780958175,0.6612268414762285,0.7557846340861633,0.6847239714115858,0.7762230903990627
9,0.662454048871994,0.6609864069355859,0.7472458421845505,0.6919161000599464,0.7648407988495878
10,0.6635142529010772,0.6577481223477257,0.7568679876920358,0.680209985623757,0.7689318579304515
11,0.6612597287893295,0.661991129981147,0.7279846916368656,0.6818103541930517,0.7457280756353022
12,0.6618234095573425,0.6626503898037804,0.762694810153035,0.6900781467556953,0.7743536980597527
13,0.6616664620637893,0.6599628468354543,0.7561326359395949,0.6824932849655548,0.7692521657696437
14,0.6594799448251725,0.6594423360294766,0.7627005565301221,0.6958257195850214,0.7602659791380496
15,0.658899999499321,0.6602192474736108,0.7579240846927858,0.6805560849606991,0.7643307552982354
16,0.657817182302475,0.6630699071619246,0.7571835276087772,0.6827085961898168,0.7544009437938947
17,0.6615728805065155,0.6637194375197093,0.7427605244996549,0.6872965482374033,0.7488957738510429
18,0.66072208070755,0.660425396098031,0.7584382960035135,0.6850266940891743,0.769305606128036
19,0.6595140051841736,0.6677338514063094,0.7152055792912794,0.6791905437906584,0.7247264705566244
20,0.6586218931674958,0.6572288281387753,0.7650604677970323,0.6813160919894775,0.7668024418012452
21,0.6598432122468948,0.6604372706678179,0.7662972514322721,0.6832985039800406,0.7552632583773563
22,0.6574122371673584,0.658397728867001,0.7671811405382742,0.6900251222153505,0.7715599239061509
23,0.6568389629125595,0.6538755006260342,0.7590237282831749,0.6807295071581999,0.7420388432282247
24,0.6569467476606369,0.659901554716958,0.7641796850492503,0.685686906799674,0.7624722514943164
25,0.6565262060165405,0.6631891628106436,0.7674829297762507,0.6800461957852045,0.758728759820728
26,0.6591782547235489,0.6570267505115933,0.7556544986249272,0.683108106876413,0.7367852114495337
27,0.658869926571846,0.6577027367220984,0.7616111422032058,0.686026589324077,0.767062003589738
28,0.6560016473531723,0.6549376202954187,0.7708163944816045,0.6844620052725077,0.7734718406593408
29,0.6570088193416596,0.660280007786221,0.7638834809206881,0.6787240002304316,0.7664192633616338
30,0.6602285128831863,0.6574910501639049,0.7494058598406426,0.6827248856425285,0.7327934548731091
31,0.6566907263994217,0.659188633494907,0.705754695407798,0.683695095901688,0.7151212149037385
32,0.6586058962345124,0.6571642809444004,0.7620504434133905,0.6856224636236826,0.7574969951923077
33,0.6603693900108337,0.657087027364307,0.7380538657674827,0.6910971365869045,0.7453051277366378
34,0.6593840955495834,0.657311264011595,0.7612550348202523,0.6864909722159306,0.7605174005287092
35,0.6586605414152146,0.6584521134694418,0.7637835958768223,0.6900059251735607,0.7647633996623537
36,0.6572464298009872,0.659568268722958,0.7553948581286112,0.6794043934593598,0.7625742936061821
37,0.6588323184251785,0.65979925526513,0.7184876604502537,0.6795797118296226,0.740196278331044
38,0.6574968003034591,0.6578391744030847,0.7628095384212078,0.6816585566848516,0.7743339820925254
39,0.6572498105764389,0.6612912820445167,0.7355815425289708,0.6804191786795855,0.753220395957409
40,0.65292851126194,0.6597183201048109,0.7241495829571165,0.6798558899511894,0.7406397127855161
41,0.6559663889408112,0.6607249187098609,0.6994774546014544,0.6830351868023475,0.7381412264917405
42,0.6589841622114182,0.6613476230038537,0.7380053955706131,0.6777534180631241,0.7641259955074535
43,0.6551253566741944,0.6598687138822343,0.7540680132317562,0.6801372158030669,0.758142343407592
44,0.6574618073701859,0.6570471902688344,0.7701481128238215,0.6880613969018062,0.779218535370879
45,0.6589438861608505,0.6576825300852458,0.7774239287282766,0.6913713278869787,0.7872852554757068
46,0.6605503944158554,0.6587629285123613,0.7555645407514844,0.6767843930671612,0.7809510031745998
47,0.6573730787038803,0.6575603160593245,0.7647941245370604,0.6806175839155912,0.7732746778448555
48,0.6563072628974914,0.6566200276215871,0.7654710819772157,0.6822106701632341,0.786565888890083
49,0.6574019793272018,0.6561678455935585,0.7482602421732857,0.6832269287357727,0.7587467130186746
50,0.6576595327854157,0.6568063702848222,0.761865121386338,0.6770761540780464,0.78368427581163
